name01#0,"""Astalte"""
11_voice_shop_412#0,"""ท่านสำเร็จทุกเงื่อนไขใน Card ใบนี้แล้ว<br>และนี่คือ Card ใบใหม่ของท่าน"""
text02#0,"""รายละเอียดเราก็ไม่ค่อยทราบ...<br>แต่ดูเหมือนจะเกี่ยวกับสิ่งที่เรียกว่า Matter Board"""
text03#0,"""ภารกิจต่อไปคือ...<br>ผ่านภารกิจ<c bb0000>ตำแหน่ง E-4 บน <br>MatterBoard [The Road to Today]<c> ให้สำเร็จ"""
text04#0,"""และเมื่อท่านสามารถดำเนินภารกิจจนลุล่วงแล้ว<br>ท่านจึงจะได้รับการประทับตราบน StampCard<br>"""
text05#0,"""พยายามเข้านะ"""
name01#1,"""アスタルテ"""
11_voice_shop_412#1,"""カードの取得条件を満たしていますね。<br>では、こちらが新しいカードです。"""
text02#1,"""詳細は私にもわかりかねますが……<br>マターボードと呼ばれるものの<br>ガイダンスのようです。"""
text03#1,"""次の目的は……<c bb0000><br>マターボード「この日を迎えるため」の<br>Ｅ－４の探索を達成する<c>こと、です。"""
text04#1,"""なお、すでに目標達成済みでしたら<br>引き続いてスタンプを押させて<br>もらいます。よろしくお願いします。"""
text05#1,"""それでは、頑張って下さい。"""
