name_7002#0,"""アイナ"""
name_7022#0,"""カヌイ"""
name_7034#0,"""ルーシア"""
msn_041160_0010#0,"""ここって何？<br>いろんな物が動いてるけど……。"""
msn_041160_0020#0,"""ここは、我々の敵である、ドールズの製造施設です。"""
msn_041160_0030#0,"""……今もここは稼働し、無数のドールズを生み出し続けています。"""
msn_041160_0040#0,"""どうして壊さないの？<br>そんな施設、放っておいたら危険じゃない。"""
msn_041160_0050#0,"""本当は、そうしたい。ですが……ここは、ハルファ全体を支える<br>エネルギープラントと一体化しているのです。"""
msn_041160_0060#0,"""破壊すれば、ハルファそのもののライフラインが停止し、<br>甚大な被害を及ぼしかねない。"""
msn_041160_0070#0,"""じゃあ……あなたたちはそのドールズってやつらと、<br>ずっと戦い続けなきゃいけないってこと？"""
msn_041160_0080#0,"""ええ、今は戦い続けるしかありません。ですが私たちは諦めていない。<br>終わらせる方法を、ハルファの皆で探しています。"""
msn_041160_0090#0,"""さあ、隊長はこの先にいます。ご案内しましょう。"""
