Title#0,"""冰上的聖誕節"""
Explanation#0,"""從雪原區域傳來不明求救訊號。<br>內容只提到蛋糕啦什麼的，實在令人<br>摸不著頭緒，但既然已經對ARKS求援，<br>就不能坐視不管。<br>ARKS成員請準備完成後儘速前往雪原地區，<br>調查求救訊號的發生源，<br>進行救援行動。<br>――――――――――――――――――――<br>失敗條件/防衛失敗、超過限制時間"""
Title#1,"""氷上のメリークリスマス"""
Explanation#1,"""凍土から謎の救援要請が入っている。<br>ケーキだ何だのと、要請内容はいまいち<br>理解しかねるものだが、アークスに対して<br>接触を求めているため<br>無視するわけにもいかない。<br>アークス各員は準備が出来次第、凍土へと<br>出撃し、救難信号の発信源へと向かい<br>救援活動を行ってほしい。<br>――――――――――――――――――――<br>失敗条件/防衛の失敗、制限時間の経過"""
SimpleExplanation#0,"""找出娜烏拉的蛋糕店！"""
SimpleExplanation#1,"""ナウラのケーキ屋を探し出せ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
