Title#0,"""Carthago Hunt"""
Explanation#0,"""จะพบ D-arker ได้ที่ Cauldron<br>บริเวณขอบของ Amduskia<br>ARKS จงไปยัง Amduskia ในทันทีและกำจัด Carthagos<br>Dragorii บางส่วนอาจจะถูกครอบงำโดย D-arkers<br>จงระวังตัวไว้"""
Title#1,"""カルターゴ殲滅"""
Explanation#1,"""惑星アムドゥスキア地殻部、火山洞窟にて<br>ダーカーの存在が確認された。<br>アークスは至急アムドゥスキアに向かい<br>カルターゴを撃退せよ。<br>ダーカーの影響を受け、屈強な龍族が<br>凶暴化している可能性もある、注意せよ。"""
SimpleExplanation#0,"""กำจัด Carthagos!"""
SimpleExplanation#1,"""カルターゴを殲滅せよ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
