name01#0,"""Joseph"""
name01#1,"""ジョーゼフ"""
text00#0,"""ได้รับของเรียบร้อย<br>คิดถูกจริงๆที่ขอให้ช่วย"""
text01#0,"""ไม่มีที่ติ<br>ทำได้ดีมาก"""
text02#0,"""รบกวนแล้วนะ<br>แต่ช่วยได้มากจริงๆ ไว้จะไปหาใหม่"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""確かに受け取った。<br>君に頼んで正解だったな。"""
text01#1,"""いい出来だ。<br>よくやってくれた。"""
text02#1,"""手間をかけさせたな。<br>だが助かった。また頼む。"""
text03#1,"""ありがとう03"""
text00#2,"""อืม ยอดเยี่ยม<br>ออกมาดูดีกว่าที่คิดไว้ซะอีก<br>ไม่ผิดหวังที่ขอให้ช่วยจริงๆ"""
text01#2,"""สุดยอดมาก !<br>ทำไมออกมาดีขนาดนี้<br>ทุ่นแรงได้เยอะเลย"""
text02#2,"""อืม ทำได้เยี่ยมมากนะ<br>บุญคุณนี้จะไม่มีวันลืมเลย<br>ขอขอบคุณจริงๆ"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""うむ、素晴らしい。<br>完成度が段違いだ。<br>君に頼んで正解だった。"""
text01#3,"""よくやってくれた！<br>素晴らしい出来だ。<br>助かったぞ。"""
text02#3,"""うむ、素晴らしい出来栄えだ。<br>これからも日々、研鑽を忘れず<br>精進してくれ。"""
text03#3,"""本当にありがとう03"""
