Title#0,"""Lost Sea Mineral Transport"""
Explanation#0,"""พบแร่ที่มีค่าสำหรับงานวิจัยที่ Lost Sea บน Lilipa<br>แม้เราจะอยากได้มันกลับมาเพื่อวิจัย แต่มันมี Automata<br>อยู่บริเวณนั้น<br>ขอให้ ARKS ไปหาLost Sea แล้วเก็บแร่กลับมา"""
Title#1,"""貴重物資運搬計画：砂漠"""
Explanation#1,"""惑星リリーパの砂漠で、研究価値の高い<br>貴重な鉱石が発見された。<br>急ぎ持ち帰り、研究を行いたいのだが<br>鉱石近辺を守護するように機甲種が<br>徘徊していて接近できない。<br>アークス各員は砂漠の該当地区へと向かい<br>鉱石を直接回収、専用機までの運搬を頼む。"""
SimpleExplanation#0,"""นำแร่หายากกลับมา!"""
SimpleExplanation#1,"""稀少鉱物を回収せよ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
