name_7442#0,"""チトセ"""
ssn_015306_0001#0,"""誰っ！"""
ssn_015306_0002#0,"""あっ、助けに来てくれたんだね。<br>よかったぁ！\u3000ありがとー！"""
ssn_015306_0003#0,"""え？\u3000キリシマちゃんに頼まれた？"""
ssn_015306_0004#0,"""そっかー。<br>やっぱあの人、いい人だわ、うん！"""
ssn_015306_0005#0,"""敵が多くて、身動きできなかったんだよね。<br>囮になってたら、逃げ遅れちゃって……へへ。"""
ssn_015306_0006#0,"""マグも壊れて、連絡取れなくなるしさー。<br>いやー、参った参った。"""
ssn_015306_0007#0,"""てゆーか、話変わるけど。キミ強そうだよね。<br>この辺のドールズ、倒してくれない？"""
ssn_015306_0101#0,"""キミ、強そうだよねー。"""
ssn_015306_0102#0,"""この辺のドールズ、倒してくれない？"""
ssn_015306_0201#0,"""エネルギープラントのデータね。<br>工場のまん中にある、一番おおきいヤツ。"""
ssn_015306_0202#0,"""その腕なら、問題ないっしょ。<br>よろしくー！"""
