Begin#0,"""/ci2 1 帕緹開始"""
Success#0,"""/mn1 /ci2 2 帕緹成功"""
Failure#0,"""/mn1 /ci2 2 帕緹失敗"""
Dead#0,"""/mn1 /ci2 2 帕緹死亡"""
BuddyDead#0,"""/mn1 /ci2 2 帕緹對象死亡"""
Evolution#0,"""/mn1 /ci2 2 帕緹發展"""
Begin#1,"""/mn15 /toge /ci2 1 愛與勇氣的美少女戰士！<br>小帕緹在此參上！<br>快看！這個泳裝很可愛吧！"""
Success#1,"""/mn15 /ci2 1 愛與勇氣的美少女戰士！<br>小帕緹是無人能敵的！<br>來吧，來享受大海吧！"""
Failure#1,"""/mn1 討厭！失敗了！<br>因為愛和勇氣還不夠的關係！"""
Dead#1,"""啊啊……沒有足夠的愛與勇氣的<br>美少女戰士需要一點休息<br>啊……噁啊。"""
BuddyDead#1,"""/mn36 提雅！？……你！<br>愛與勇氣與悲傷的美少女戰士<br>小帕緹要報仇！"""
Evolution#1,"""未使用"""
