text01#0,"""ยินดีต้อนรับกลับมา ท่านพัฒนาไปเยอะเลย"""
text02#0,"""ความจริงแล้วท่านพร้อมที่จะไปยัง Boot Camp ต่อไปแล้ว"""
text03#0,"""แต่ก่อนอื่นข้าจะแนะนำสกิลที่ท่านควรใช้"""
11_voice_NPC_5054_100#0,"""ระหว่างที่สมองยังไม่ลืม รีบไปฝึกฝนให้ชำนาญไว้ซะ"""
text100#0,"""Set Trap"""
text101#0,"""Set Trap<br><br>Set Trap เป็นสกิลของ Ranger<br>มันเป็นกับดักเวลาบนสนามรบที่ใช้ระเบิดศัตรู"""
text102#0,"""เมื่อท่านวางกับดักจะมีตัวตั้งเวลาปรากฏ<br>โดยจะเริ่มนับถอยหลังเมื่อติดตั้งกับดักเสร็จ"""
text103#0,"""เมื่อเวลานับถึง 0 กับดักจะระเบิด<br><br>โดยระยะของการระเบิดอยู่กับชนิดของกับดักที่ท่านตั้งไว้"""
text104#0,"""ในการใช้กับดัก ท่านต้องเรียนสกิลที่เกี่ยวข้องกับกับดักของ Ranger<br>และสามารถซื้อกับดักได้จากร้านค้า<br><br>ท่านสามารถใช้กับดักเพื่อเอาตัวรอดเมื่อติดอยู่ในสถานการณ์คับขันได้อีกด้วย"""
text01#1,"""ご苦労だった。<br>大いに成長を感じる内容だった。"""
text02#1,"""この調子なら、そのまま次の特訓に<br>進むのも悪くないだろう。"""
text03#1,"""ところで、レンジャーには<br>こういうスキルもあるが<br>活用しているかな？"""
11_voice_NPC_5054_100#1,"""今の勢いを忘れないうちに<br>どんどん攻めていってくれたまえ。"""
text100#1,"""『トラップ』について"""
text101#1,"""トラップについて<br><br>トラップは、レンジャーのスキルの１つです。<br>時限式のトラップをフィールドに設置し<br>敵を爆発に巻き込ませることが可能です。"""
text102#1,"""設置したトラップは、タイマーが上部に表示され<br>設置したタイミングから、カウントダウンが始まります。"""
text103#1,"""タイマーが０になったタイミングで起爆します。<br><br>爆発の範囲や、効果はトラップの種類によって異なります。"""
text104#1,"""トラップを使用するには、レンジャースキルの<br>トラップスキルを各種取得する必要があります。<br>トラップ自体は、ショップなどから購入が可能です。<br><br>危機的状況において、トラップを活用しつつ窮地を切り抜けましょう。"""
