name_7429#0,"""Cristobal"""
ssn_014870_0001_001#0,"""Excellent work. I'll check them out right away."""
ssn_014870_0001_002#0,"""...Alright, everything looks good."""
ssn_014870_0001_003#0,"""We only need the data, so you're welcome to hold on to what you've gathered."""
ssn_014870_0001_004#0,"""What did you think? Not an easy job, was it?"""
ssn_014870_0001_005#0,"""It's our mission to do stuff like this over and over again."""
ssn_014870_0001_006#0,"""It would be far more efficient if we had a transport truck, and a greater number of people for the task."""
ssn_014870_0001_007#0,"""But there's no way they've got trucks to spare for such a small group as ours."""
ssn_014870_0001_008#0,"""All we can do is move forward on our own two legs."""
ssn_014870_0001_009#0,"""In any event, I really appreciate your help."""
ssn_014870_0001_010#0,"""If anything comes up, I'll give you a call. Hope I can count on you again."""
ssn_014870_0001_011#0,"""With someone as hard-working as you on the team, we'd have a much easier time of things."""
ssn_014870_0001_012#0,"""But complaining's not gonna help. I've gotta do whatever I can as leader."""
ssn_014870_0001#0,"""Hey, I've heard about your work here."""
ssn_014870_0002#0,"""Looks like you've gotten acclimated to the region, and all the kind of work we have to do around here."""
ssn_014870_0003#0,"""Our mission's been proceeding well. We're slowly expanding the scope of things too."""
ssn_014870_0004#0,"""Although, we're short on people as always. I don't think we'll ever be caught up."""
ssn_014870_0005#0,"""What do you say? How about lending a hand one more time."""
ssn_014870_0006#0,"""You can show me just how much you've learned here. You'd be helping us out a lot."""
ssn_014870_0101#0,"""Central Kvaris is teeming with much stronger enemies than the southern reaches."""
ssn_014870_0102#0,"""Take care out there."""
ssn_014870_0201#0,"""That's alright, don't worry about it. Come on back if you change your mind."""
ssn_014870_0301#0,"""Excellent work."""
ssn_014870_0302#0,"""I've watched the way you fight through your Mag, and it's really something else."""
ssn_014870_0303#0,"""There aren't many ARKS who can fight as well as you."""
ssn_014870_0304#0,"""Kvaris may have made you even stronger."""
ssn_014870_0305#0,"""Almost reminds me of him..."""
ssn_014870_0306#0,"""Ah, sorry. Just mumbling to myself."""
ssn_014870_0307#0,"""When I look at you, I get reminded of the past. When I was still young."""
ssn_014870_0308#0,"""Heh, now I sound like a wistful old man. I'm still an ARKS in his prime."""
ssn_014870_0309#0,"""Anyway, thanks again for your help. I hope you'll continue to help us out."""
ssn_014870_1001#0,"""How goes it? Starting to miss being back home?"""
ssn_014870_1002#0,"""All of our members from Retem have been grumbling about how they miss the desert."""
ssn_014870_1003#0,"""You should head back to Aelio once in a while and take a break too."""
ssn_014870_1004#0,"""But uh, on an unrelated note... what would you say to helping us out some more?"""
ssn_014870_1005#0,"""We're going to be starting expeditions into northern Kvaris now. We're going to need as many hands as we can get."""
ssn_014870_1101#0,"""The more we expand our operations, the harder it becomse to get things done. It's a real predicament."""
ssn_014870_1102#0,"""We're relying on you to get this done. I've already sent the details to your Mag."""
ssn_014870_1201#0,"""Ah, guess you're preoccupied. Maybe next time."""
ssn_014870_1301#0,"""Excellent work. I'll compile the data now."""
ssn_014870_1302#0,"""...Everything looks good."""
ssn_014870_1303#0,"""Wouldn't expect anything less from the ARKS who survived that DOLLS attack on Aelio Town. Perfectly done."""
ssn_014870_1304#0,"""Hm? Why the surprise? Were you unaware that I knew?"""
ssn_014870_1305#0,"""You may not have realized it, but you're pretty famous among the ARKS."""
ssn_014870_1306#0,"""Everyone's been praising your bravery in battle and all the feats you've accomplished. I wanted to see just how accurate the rumors were."""
ssn_014870_1307#0,"""To be honest, I was actually testing you with all those missions."""
ssn_014870_1308#0,"""But after seeing the results you've managed, there's no more doubt left in my mind."""
ssn_014870_1309#0,"""You're an even greater ARKS than the rumors let on."""
ssn_014870_1310#0,"""I hope you'll continue to aid us here. Thanks for all the help."""
ssn_014870_2001#0,"""Just the person I wanted to see. Things are a bit hectic, think you can lend a hand again?"""
ssn_014870_2002#0,"""This time will be a little different from before. I'm at wit's end here."""
ssn_014870_2003#0,"""It won't be easy, but you'd be doing us a massive favor."""
ssn_014870_2101#0,"""I would go myself, but I'm not able to leave the came at all."""
ssn_014870_2102#0,"""Sorry to put this on your shoulders, but I trust you."""
ssn_014870_2201#0,"""I see... I'm sure you must have your reasons."""
