st_065120_0010#0,"""過去延續的因果<br>被畫上了終止符。<br>像我們這樣的亡靈、到此為止了。"""
st_065120_0020#0,"""你……！"""
st_065120_0030#0,"""不必悲傷。<br>你們脫離了這個輪回<br>我也得到了救贖。"""
st_065120_0040#0,"""瑪托依。<br>接下來就按照你的想法、前進吧。"""
st_065120_0050#0,"""我所知道的、就到此為止。"""
st_065120_0060#0,"""接下來是一個、「全知存在」都無法記錄<br>沒有人知道的未來。"""
st_065120_0070#0,"""那是誰也無法記錄的、未來。<br>是只屬於你們的、記憶。"""
st_065120_0080#0,"""……但是。<br>如果最後、能說一句話的話。"""
st_065120_0090#0,"""那裡一定有<br>快樂的未來在等待著。"""
st_065120_0100#0,"""這裡是……母舰中？<br>……現在的、是在做夢嗎？"""
st_065120_0110#0,"""……不是夢"""
st_065120_0120#0,"""……不會忘記"""
st_065120_0130#0,"""……嗯。"""
st_065120_0140#0,"""走吧、<%me>。"""
st_065120_0150#0,"""向着我們的、未來。"""
