name_7657#0,"""アディラ"""
ssn_005060_0001#0,"""セントラルシティへようこそ！"""
ssn_005060_0002#0,"""仲間が増えて嬉しいよ！<br>みんなと一緒に、頑張ろうね！"""
ssn_005060_0101#0,"""ねえ、キミ！<br>“特殊能力”って、知ってる？"""
ssn_005060_0051#0,"""よければ、教えてあげよっか！"""
ssn_005060_0052#0,"""よし！\u3000それじゃ、よく聞いてね！"""
ssn_005060_0102#0,"""武器や防具の能力を補正するものなんだけど……、<br>要するに“個体差”みたいなものね。"""
ssn_005060_0103#0,"""今度、装備のデータを確認する際に、<br>注意して見てみて。"""
ssn_005060_0104#0,"""それで……、実はこの“特殊能力”、<br>同じ装備に追加したり、他の装備に付け替えたりできるの。"""
ssn_005060_0105#0,"""試しに一度、チャレンジしてみたらどうかな。"""
ssn_005060_0106#0,"""装備のチューニングは、アイテムラボでやってくれるんだけど、<br>“特殊能力カプセル”っていうのが必要のよね……。"""
ssn_005060_0107#0,"""よし、今回は特別！"""
ssn_005060_0108#0,"""あたしの特殊能力カプセルをあげる！<br>これを持って、ラボへ行ってみて！"""
ssn_005060_0201#0,"""特殊能力のチューニング、やってみてどう？"""
ssn_005060_0202#0,"""特殊能力ひとつひとつは、小さなな効果でも、<br>たくさん追加することで、強力な武器に変えることができるよ！"""
ssn_005060_0203#0,"""自分なりのカスタマイズを楽しんでみてね！"""
ssn_005060_0301#0,"""そう？\u3000もし知りたくなったら、また来てね！"""
