name_7707#0,"""マーリン"""
ssn_014424_0001#0,"""また手伝ってくれるんだって？\u3000サンキュー。<br>で、野菜は採れた？"""
ssn_014424_0101#0,"""サッパ・リテナクランベを10個渡す"""
ssn_014424_0102#0,"""やめる"""
ssn_014424_0201#0,"""サンキュー。<br>確かに受け取ったよ。"""
ssn_014424_0202#0,"""あれ、これじゃ足りないかも……。<br>悪いけど、もう少しだけ集めてきてくれる？"""
ssn_014424_0203#0,"""あら……そう。<br>こんどは野菜、お願いね。"""
ssn_014424_0301#0,"""へえ、これは新鮮だね。<br>いい食材だよ、ほんと。"""
ssn_014424_0302#0,"""これなら栄養バッチリ。みんなすぐ元気になるね。<br>さて、腕をふるおうかな。"""
ssn_014424_0401#0,"""大丈夫？<br>疲れたんじゃない？"""
ssn_014424_0402#0,"""お腹が減ってたら、<br>なにか美味しいもの作ってあげるよ。"""
ssn_014424_0501#0,"""いやほんと、ご苦労さんだったね。<br>でもこれで、精のつく料理を作れそうだ。"""
ssn_014424_0502#0,"""さて、さっそく仕事にとりかかるかな。"""
