Title#0,"""あなたが紡いだ未来"""
Explanation#0,"""あなたがいない世界など、望みはしない。<br>それが、正しい歴史なのだとしても<br>それが、変えようのない未来なのだとしても<br>あなたがいない未来など、認めない。<br>――――――――――――――――――――<br>オートドール機能の対象外<br>スケープドール・ハーフドールの使用不可"""
StoryExplanation#0,"""あなたがいない世界など、望みはしない。<br>それが、正しい歴史なのだとしても<br>それが、変えようのない未来なのだとしても<br>あなたがいない未来など、認めない。"""
SimpleExplanation#0,"""【原初の闇】を撃破せよ！"""
Area0S#0,"""？？？？"""
Area0L#0,"""？？？？"""
Area1S#0,"""時空の狭間\u3000最深層"""
Area1L#0,"""時空の狭間\u3000最深層"""
NpcComMsg1#0,"""転送装置メッセージ1\u3000神獣＋二足テストクエスト"""
NpcComMsg2#0,"""転送装置メッセージ2\u3000神獣＋二足テストクエスト"""
NpcComMsg3#0,"""転送装置メッセージ3\u3000神獣＋二足テストクエスト"""
NpcComMsg1#1,"""これは……<br>……みんなの想いを、感じる。"""
NpcComMsg2#1,"""生きとし生けるもの……<br>いいえ、今まで生きてきたもの……<br>それら全ての、願いがここに集う。"""
NpcComMsg3#1,"""それは、闇を払う光……<br>……大いなる光となって。"""
NpcComMsg1#2,"""もはや、語るべきことはありません。<br>今は、最後まで<br>共に戦えることに、ただ感謝を。"""
NpcComMsg2#2,"""あたしだって、貴方が<br>世界からいなくなるなんていやだ。<br>だから絶対帰ろう、一緒に！"""
NpcComMsg3#2,"""誰一人犠牲になんかさせない。<br>みんなで一緒に、新しい未来へ……！"""
