name_7303#0,"""ノアン"""
ssn_019430_005_0010#0,"""お、お疲れ様です！"""
ssn_019430_005_0020#0,"""引き続き調査をお願いします、なのです！"""
ssn_019430_005_0110#0,"""お、お疲れ様です！<br>来てくれて、ありがとうございます！"""
ssn_019430_005_0120#0,"""今回調査してほしい生き物は“ノビルトリ”。<br>小さな体から、ぴょんと首を伸ばす鳥型の生物なのです！"""
ssn_019430_005_0130#0,"""以前、ルーフ・マクアドで調査をしたのですが、<br>しばらく経つので、改めて様子を確認しておきたいのです。"""
ssn_019430_005_0140#0,"""調査自体は、難しいことはなくて。<br>生態をおびやかす危険がないか、実際に見てあげてほしいのです。"""
ssn_019430_005_0150#0,"""本当は、わたしが行って<br>この目で確認したいところなのですが……。"""
ssn_019430_005_0160#0,"""前にマミィドッグにやられそうになったこともあって、<br>ほかの研究員たちから、危ないと止められまして。すみません。"""
ssn_019430_005_0170#0,"""と、ともかくですね！<br>よろしくお願いします、なのです！"""
ssn_019430_005_0210#0,"""ありがとうございました！<br>とっても助かったのです！"""
ssn_019430_005_0220#0,"""また機会があれば、お手伝いよろしくなのです！"""
