Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 2 放っておくわけにもいかないわね……<br>私も手伝うわ。"""
Success#1,"""/ci1 2 無事で良かったわ……<br>それじゃ、私たちはこの辺で。"""
Failure#1,"""劣勢ね……ここは退くべきよ。<br>退路を確保するわ。"""
Dead#1,"""そ、そんな……<br>強すぎる……！"""
BuddyDead#1,"""/ci1 2 ジェネ、大丈夫！？<br>すぐに終わらせるから、下がっていて！"""
Begin#2,"""/ci1 2 放っておくわけにもいかないわね……<br>私も手伝うわ。"""
Success#2,"""/ci1 2 無事で良かったわ……<br>それじゃ、私たちはこの辺で。"""
Failure#2,"""劣勢ね……ここは退くべきよ。<br>退路を確保するわ。"""
Dead#2,"""そ、そんな……<br>強すぎる……！"""
BuddyDead#2,"""/ci1 2 ジェネ、大丈夫！？<br>すぐに終わらせるから、下がっていて！"""
