un_020010_0010#0,"""อ้าวอ้าวแหมแหม คุณเองเหรอคะ<br>......อืม เป็นคุณเองหรอกเหรอ<br>รู้สึกว่ามันจะเลื่อนๆ ไปนิดหน่อยนะ"""
un_020010_0020#0,"""ประสาทสัมผัสของ Risa น่ะค่ะ?<br>พักนี้ ชั้นดูไม่ค่อยออกเลยค่ะว่า<br>ใครเป็นศัตรูหรือใครเป็นพวกเรากันแน่"""
un_020010_0030#0,"""คิกคิก...... แต่อย่าคิดว่าแต่เดิมที<br>ชั้นก็เป็นแบบนั้นนะคะ? ชั้นไม่ได้<br>อยากยิงโดยที่ไม่ได้คิดหรอกนะคะ"""
un_020010_0040#0,"""......หยุดเรื่องล้อเล่นแค่นี้ก่อน<br>ที่ชั้นบอกว่าประสาทสัมผัสมัน<br>แปลกๆ นี่ชั้นรู้สึกจริงๆ นะคะ"""
un_020010_0050#0,"""ยิ่งโดยเฉพาะ ตอนที่อยู่กับ<br>พวก Dewman น่ะนะ<br>ชั้นรู้สึกมึนๆ ยังไงก็ไม่รู้"""
un_020010_0060#0,"""บางครั้งก็รู้สึกอย่างกับว่ามีใครจ้อง<br>เล่นงานอยู่แต่ก็ดูเหมือนจะไม่ใช่น่ะค่ะ"""
un_020010_0070#0,"""Risa น่ะถูกสร้างขึ้นมาให้<br>ตัดสินเรื่องแบบนั้น<br>ไม่ผิดพลาดแน่ๆ แท้ๆ"""
un_020010_0080#0,"""ถ้าเป็นการต่อสู้แบบตะลุมบอนล่ะก็แม้จะ<br>ยิงขนาดไหนก็ไม่ถูกโกรธก็จริง แต่ถ้า<br>จ้องเล็งยิงเลยก็คงถูกโกรธได้เหมือนกัน"""
un_020010_0090#0,"""น่ารำคาญจัง น่ารำคาญจัง <br>ทำไมมันถึงกลายเป็นโลกที่<br>ยุ่งยากน่ารำคาญแบบนี้นะ"""
un_020010_0100#0,"""ถ้าเป็นโลกที่จะยิงใครก็ได้ไม่เกี่ยงว่า<br>จะเป็นมิตรหรือศัตรู ก็คงจะง่าย<br>และดีไม่ใช่น้อยเลยนะคะ"""
un_020010_0010#1,"""おやおやあらあら、あなたですか。<br>……うーん、あなたでしたか。<br>ちょーっとズレてますねえ。"""
un_020010_0020#1,"""リサの感覚が、ですよお？<br>最近、敵さんと味方さんの<br>判断があやふやなんですよお。"""
un_020010_0030#1,"""ふふふ……もともとそうだろう<br>とか思わないで下さいねえ？<br>思わず撃ちたくなっちゃいます。"""
un_020010_0040#1,"""……冗談はさておき<br>なんだか感覚がヘンなのは<br>本当のことなんですよねえ。"""
un_020010_0050#1,"""とくに、デューマンのみなさんと<br>一緒に居るときなんかが<br>ぶれぶれなんですねえ。"""
un_020010_0060#1,"""時々、誰を狙うのかというので<br>間違えそうになるんですよお。"""
un_020010_0070#1,"""リサ、そういう判断は<br>間違えないようにしてきたはず<br>なんですけどねえ。"""
un_020010_0080#1,"""混戦状態だったら、いくら撃っても<br>怒られはしませんけど、狙い撃つと<br>流石に怒られてしまいます。"""
un_020010_0090#1,"""面倒ですねえ、面倒ですねえ。<br>どうしてこんな面倒な世の中に<br>なっているんでしょう。"""
un_020010_0100#1,"""敵も味方も関係なしに撃っていい<br>世界だったら、すっごく簡単で<br>よかったんですけどねえ。"""
