name_7245#0,"""シェミー"""
ssn_019310_002_0010#0,"""……ど、どうも、<br>来てくれて……、ありがとうございます。"""
ssn_019310_002_0020#0,"""話したいのは……、<br>今、ハルファ全体で起きてる……ことです。"""
ssn_019310_002_0030#0,"""シーズンシンボルの付いた……エネミーが増えてて、<br>ほかのエネミーも……活動が活発になってます。"""
ssn_019310_002_0040#0,"""新しい装備の開発のために……、<br>そのデータを集めたい……んですけど。"""
ssn_019310_002_0050#0,"""あなたにも……、<br>また手伝ってもらえないかと……思ってて。"""
ssn_019310_002_0060#0,"""あっ……、その顔は……、<br>オッケーって感じですよね。"""
ssn_019310_002_0070#0,"""……ですよね？"""
ssn_019310_002_0080#0,"""そ、それじゃ……頑張って！"""
ssn_019310_002_0900#0,"""エネミーの……、<br>データ収集、どうですか？"""
ssn_019310_002_0910#0,"""な、なにかお手伝いできること、<br>ありますか……？"""
npc_menu_0010#0,"""シーズナルポイントと交換する（$(0)まで）"""
npc_menu_0020#0,"""ニューイヤー'24のシーズナルポイントと交換する（$(0)まで）"""
npc_menu_0030#0,"""鉱石と交換する（$(0)まで）"""
npc_menu_0040#0,"""アイテムリサイクル（$(0)まで）"""
npc_menu_0050#0,"""シーズナルイベントについて聞く"""
npc_menu_0060#0,"""メニューを閉じる"""
npc_menu_1010#0,"""“シーズナルイベント”について"""
npc_menu_1020#0,"""“シーズンエネミー”について"""
npc_menu_1030#0,"""“ミスチーフシンボル”について"""
npc_menu_1040#0,"""“シーズナルリージョンマグ”について"""
npc_menu_1050#0,"""“ランダマイト”について"""
npc_menu_2000#0,"""聞きたいことはない"""
