un_041010_0010#0,"""……よう、センパイ。"""
un_041010_0020#0,"""挨拶に来てくれたってことは<br>ちょっとは落ち着いてきたってことだよな？"""
un_041010_0030#0,"""復帰早々面倒事に巻き込まれて忙しそうってのは<br>見てればわかったし、こっちから会いに行って<br>邪魔になっても悪いと思ったからさ。"""
un_041010_0040#0,"""……どのぐらいぶりだろうな。<br>きちんと会うのは。"""
un_041010_0050#0,"""寝てるだけだから大丈夫、って聞いてたし<br>別に心配していたわけじゃないけど……<br>やっぱり会えて、話せると、安心する。"""
un_041010_0060#0,"""そんな大げさな、って思っただろ？<br>待つ側からしたら、結構長かったんだぞ。"""
un_041010_0070#0,"""１．大人っぽくなったね"""
un_041010_0080#0,"""２．きれいになったね"""
un_041010_0090#0,"""……そ、そう、かな？<br>まあ、そりゃ時間が経てば<br>おれだって成長するよ。"""
un_041010_0100#0,"""き、きれいって……<br>……まあ、けっこう経ってるからな。<br>おれだって成長するさ。"""
un_041010_0110#0,"""……あのな、ヘンな事言って<br>おれを恥ずかしがらせようとしても<br>無駄だぞ、センパイ。"""
un_041010_0120#0,"""からかわれるのにも、もう慣れた。<br>その程度で戸惑ったりしない……"""
un_041010_0130#0,"""ってセンパイ、近っ……！<br>近いってば！"""
un_041010_0140#0,"""……まったく、いつもいきなりなんだよ！<br>あんまりヘンなことすると、マトイさんに<br>言いつけてやるんだからな！"""
un_041010_0150#0,"""……はは、こういうやりとりしてると<br>センパイ、戻ってきたんだなって<br>実感できるよ。"""
un_041010_0160#0,"""きちんと言うの遅くなっちゃったけど……<br>……おかえり、センパイ。<br>ずっと、待ってたよ。"""
linewindow001#0,"""イオ（EP4）をパートナーとして呼べるようになりました。"""
