name_7441#0,"""シラユキ"""
ssn_015480_0001#0,"""エアリオから来たアークスだな。<br>そなたの噂は聞いている。"""
ssn_015480_0002#0,"""その腕前、ぜひ見てみたいものだ。<br>これからよろしく頼むぞ。"""
ssn_015480_0101#0,"""む、そなたか。<br>そういえば、挨拶がまだだったな。"""
ssn_015480_0102#0,"""私はシラユキ。このスティア先遣隊で、<br>戦闘団の第３小隊長を務めている。"""
ssn_015480_0103#0,"""そなたの腕前には、興味がある。"""
ssn_015480_0104#0,"""もしよければ、<br>その実力、確かめさせてもらいたい。"""
ssn_015480_0201#0,"""目標は、<br>ナイトシフトのアルターズ。"""
ssn_015480_0202#0,"""場所は、<br>メディオラの外郭第２区。"""
ssn_015480_0203#0,"""それでは、挑戦してみてくれ。<br>よろしく頼む。"""
ssn_015480_0301#0,"""そうか。<br>では、またの機会に。"""
ssn_015480_1001#0,"""む、そなたか。<br>もしよければ、また戦いぶりを見させてもらいたい。"""
ssn_015480_1002#0,"""引き受けてくれるか？"""
ssn_015480_1101#0,"""目標は、“ボルトレムナス”と<br>“ダークレムナス”の２体だ。"""
ssn_015480_1102#0,"""それぞれ、スティアの外縁部と、<br>メディオラの外郭第２区で見かけるだろう。"""
ssn_015480_1103#0,"""それでは、行ってみてくれ。<br>よろしく頼む。"""
ssn_015480_1201#0,"""そうか。<br>では、またの機会に。"""
