Name_00000#0,"""初級打擊武器Lv.1"""
Name_00001#0,"""初級打擊武器Lv.2"""
Name_00002#0,"""初級打擊武器Lv.3"""
Name_00003#0,"""初級打擊武器Lv.4"""
Name_00004#0,"""初級打擊武器Lv.5"""
Name_00005#0,"""初級打擊武器Lv.6"""
Name_00006#0,"""初級打擊武器Lv.7"""
Name_00007#0,"""初級打擊武器Lv.8"""
Name_00008#0,"""初級打擊武器Lv.9"""
Name_00009#0,"""初級打擊武器Lv.10"""
Name_00010#0,"""初級打擊武器Lv.11"""
Name_00011#0,"""初級打擊武器Lv.12"""
Name_00012#0,"""初級打擊武器Lv.13"""
Name_00013#0,"""初級打擊武器Lv.14"""
Name_00014#0,"""初級打擊武器Lv.15"""
Name_00015#0,"""初級打擊武器Lv.16"""
Name_00016#0,"""初級打擊武器Lv.17"""
Name_00017#0,"""初級打擊武器Lv.18"""
Name_00018#0,"""初級打擊武器Lv.19"""
Name_00019#0,"""初級打擊武器Lv.20"""
Name_00020#0,"""中級打擊武器Lv.1"""
Name_00021#0,"""中級打擊武器Lv.2"""
Name_00022#0,"""中級打擊武器Lv.3"""
Name_00023#0,"""中級打擊武器Lv.4"""
Name_00024#0,"""中級打擊武器Lv.5"""
Name_00025#0,"""中級打擊武器Lv.6"""
Name_00026#0,"""中級打擊武器Lv.7"""
Name_00027#0,"""中級打擊武器Lv.8"""
Name_00028#0,"""中級打擊武器Lv.9"""
Name_00029#0,"""中級打擊武器Lv.10"""
Name_00030#0,"""中級打擊武器Lv.11"""
Name_00031#0,"""中級打擊武器Lv.12"""
Name_00032#0,"""中級打擊武器Lv.13"""
Name_00033#0,"""中級打擊武器Lv.14"""
Name_00034#0,"""中級打擊武器Lv.15"""
Name_00035#0,"""中級打擊武器Lv.16"""
Name_00036#0,"""上級打擊武器Lv.1"""
Name_00037#0,"""上級打擊武器Lv.2"""
Name_00038#0,"""上級打擊武器Lv.3"""
Name_00039#0,"""上級打擊武器Lv.4"""
Name_00040#0,"""上級打擊武器Lv.5"""
Name_00041#0,"""上級打擊武器Lv.6"""
Name_00042#0,"""上級打擊武器Lv.7"""
Name_00043#0,"""上級打擊武器Lv.8"""
Name_00044#0,"""上級打擊武器Lv.9"""
Name_00045#0,"""上級打擊武器Lv.10"""
Name_00046#0,"""上級打擊武器Lv.11"""
Name_00047#0,"""上級打擊武器Lv.12"""
Name_00048#0,"""★10打擊武器Lv.1"""
Name_00049#0,"""★10打擊武器Lv.2"""
Name_00050#0,"""★10打擊武器Lv.3"""
Name_00051#0,"""★10打擊武器Lv.4"""
Name_00052#0,"""★10打擊武器Lv.5"""
Name_00053#0,"""★10打擊武器Lv.6"""
Name_00054#0,"""★10打擊武器Lv.7"""
Name_00055#0,"""★10打擊武器Lv.8"""
Name_00056#0,"""★10打擊武器Lv.9"""
Name_00057#0,"""★10打擊武器Lv.10"""
Name_00058#0,"""★11打擊武器Lv.1"""
Name_00059#0,"""★11打擊武器Lv.2"""
Name_00060#0,"""★11打擊武器Lv.3"""
Name_00061#0,"""★11打擊武器Lv.4"""
Name_00062#0,"""★11打擊武器Lv.5"""
