name01#0,"""ヒルダ"""
cu_090010_0140#0,"""仮想標的を追加する。<br>すべて破壊しろ。"""
text00#0,"""フォトンアーツの使用"""
text10#0,"""テクニックの使用"""
text100#0,"""<%PhotonArts>でフォトンアーツを決めろ！"""
text101#0,"""<%PhotonArts>でテクニックを放て！"""
text1000#0,"""<%PhotonArts>でフォトンアーツを決めろ！"""
text1001#0,"""<%PhotonArts>でテクニックを放て！"""
text201#0,"""フォトンアーツでターゲットを破壊しろ！"""
text202#0,"""テクニックでターゲットを破壊しろ！"""
text203#0,"""フォトンアーツの発動：<%PhotonArts>"""
text204#0,"""テクニックの発動：<%PhotonArts><br>※長押しでチャージ<br>\u3000離すとテクニック発動"""
text205#0,"""フォトンアーツを命令してターゲットを破壊しろ！"""
text206#0,"""フォトンアーツの発動：<%PhotonArts>"""
