st_058150_0010#0,""" 今です、<%me>さん！<br> 貴方の力で、ハリエットさんを！"""
st_058150_0020#0,""" 無駄だ！"""
st_058150_0030#0,""" なぁ、守護輝士サマよォ！<br> 救うとかヌルいこと言うなよ！"""
st_058150_0040#0,""" こちとらようやく出てこられたんだぜ？<br> もっともっと、ひりつくような緊張感と<br> 死を背負った闘争を……さぁ！"""
st_058150_0050#0,""" 調子に乗ってんじゃねェ！"""
st_058150_0060#0,""" きみは、邪魔。"""
st_058150_0070#0,""" 目障りなヤツ！"""
st_058150_0080#0,""" その所行、万死に値する。"""
st_058150_0090#0,""" ……この程度の相手に苦戦して<br> 貴様は誰を、救うつもりだ？"""
st_058150_0100#0,"""ルーサー兄様が目指した世界。<br>エフィメラのない世界。"""
st_058150_0110#0,"""それを実現するために……<br>私は、すべてを抱えて消えていく。"""
st_058150_0120#0,"""この魂、この器はそのために……"""
st_058150_0130#0,"""果たして本当に、そうかな。"""
st_058150_0140#0,"""ルーサー……兄様……？"""
st_058150_0150#0,"""ハリエット。<br>耳を澄ませてみるといい。"""
st_058150_0160#0,"""私を呼ぶ、皆さんの声……<br>でも、私は……ハリエットではなく<br>この忌まわしき器の……"""
st_058150_0170#0,"""世界を決めるのは、君だ。<br>ハリエット。"""
st_058150_0180#0,"""君が変わらなければ<br>君の世界は変わらない。"""
st_058150_0190#0,"""私に、未来を望めというのですか……<br>この、闇を抱えた身体で……未来を。"""
st_058150_0200#0,"""未来はいつでも君の側にある。<br>君がそちらを向いていないだけだ。<br>……ほら。"""
st_058150_0210#0,"""帰ろう"""
st_058150_0220#0,"""助けに来たよ"""
st_058150_0230#0,"""守護輝士……！"""
st_058150_0240#0,"""未来を望むのは、万物の権利。<br>それが世界への裏切りにはなり得ない。"""
st_058150_0250#0,"""君は、人形ではない。<br>君は君だ、ハリエット。"""
st_058150_0260#0,"""さようなら、『父様』。"""
st_058150_0270#0,"""さようなら、『最高傑作』。"""
st_058150_0280#0,"""守護輝士。<br>私は……行きます。<br>私は、生きます！"""
name01#0,"""フロー&フラウ"""
name02#0,"""？？？"""
