un_025060_0010#0,"""哦、<%me><br>在這種地方真是奇遇啊！"""
un_025060_0020#0,"""啧、好不容易和傑諾<br>兩個人在一起……"""
un_025060_0030#0,"""嗯？　艾可？<br>你說什麼？"""
un_025060_0040#0,"""沒、沒什麼！<br><%me><br>你好！ 看起來很有精神呢！"""
un_025060_0050#0,"""能在這裏相遇也是某種緣分吧。<br>好久沒一起執行任務了<br>要不要一起去？"""
un_025060_0060#0,"""啊！？<br>但是、傑諾、對方的情況<br>也有事情、對吧……"""
un_025060_0070#0,"""啊，是這樣啊。<br>怎麼辦？"""
un_025060_0080#0,"""嗯……<br>真的…………"""
un_025060_0090#0,"""１．鄭重拒絕"""
un_025060_0100#0,"""２．觀察氣氛，拒絕"""
un_025060_0105#0,"""３．不察言觀色地點點頭"""
un_025060_0110#0,"""這樣啊，真遺憾啊。<br>那麼，下次見！"""
un_025060_0120#0,"""這樣啊，那就一起……"""
un_025060_0130#0,"""啊！<br>對了對了對了！"""
un_025060_0140#0,"""你之前不是說過<br>接下來有要做的事情嗎！"""
un_025060_0150#0,"""是吧！應該是這樣的！<br>是吧！　呐！"""
un_025060_0160#0,"""拜託了，讓我們倆去吧！"""
un_025060_0170#0,"""什麼啊，原來有安排啊。<br>那就沒辦法了。<br>下次見！"""
