name01#0,"""Risa"""
name01#1,"""リサ"""
11_voice_NPC_5026_104#0,"""หือ? อะไรนะ? เจ้าบอกว่าเสร็จแล้วเหรอ?<br>แต่จำนวนการฆ่าของข้าก็ไม่เยอะนะ... """
text02#0,"""ดูเหมือนว่าเจ้าจะทำได้ดีกว่าที่ข้าคิดไว้เยอะ <br>การฆ่าเหล่านั้น ทำให้ข้าพูดอะไรไม่ออกเลย"""
text03#0,"""แต่นั่นคือสิ่งที่ดี มันหมายถึงเจ้าจะเป็นที่จดจำ <br>สำหรับข้าก็เป็นการแข่งขันที่น่าสนใจมากขึ้น"""
text04#0,"""แต่ตราบใดที่ข้าสามารถออกไป<br>ข้างนอกเพื่อล่าตามลำพังได้<br>ข้าก็ไม่เป็นไร"""
text05#0,"""โอเค โอเค กลับกันเถอะ<br>ข้าเริ่มเบื่อศัตรูแถวนี้แล้ว"""
11_voice_NPC_5026_104#1,"""んんんんん？<br>あれあれあれれ？\u3000これで終わりです？<br>少ないですねえ、あっけないですねえ。"""
text02#1,"""思ったより、あなたが活躍しちゃった<br>みたいですねえ。獲物がいーっぱい<br>とられちゃったみたいですよう。"""
text03#1,"""いいことですねえ。それ。<br>強いってことは、いいことですよお？<br>リサとしては残念ですけど。"""
text04#1,"""まあ、リサはリサだけでいーっぱい<br>殺してくればいいだけですからねえ。<br>それはいつでもできますからねえ。"""
text05#1,"""ではでは、一度戻りましょうかあ？<br>ここの敵さん、そろそろ飽きて<br>きちゃいましたからねえ。"""
