name01#0,"""Cofy"""
name01#1,"""コフィー"""
11_voice_NPC_5050_100#0,"""เจ้าพร้อมไหม การทดสอบ Exploration<br>Permit Test สำหรับ Skyscape, Planet<br>Amduskia กำลังจะเริ่มขึ้น"""
text02#0,"""มาลองดูกัน ขอให้โชคดี"""
text100#0,"""เกี่ยวกับ [การป้องกันอาวุธยิง]"""
text101#0,"""ข้อมูลเกี่ยวกับ [การป้องกันอาวุธยิง]<br><br>ที่ Underworks นั้น มีศัตรูที่โจมตีโดยการใช้อาวุธยิงอยู่จำนวนมาก<br><br>จึงควรเตรียมเครื่องป้องกันให้พร้อมรับการโจมตีด้วยอาวุธยิงนั้น<br>- สวมใส่เครื่องป้องกันที่ผ่านการ Augmentation ด้าน ShotResist หรือ React มาแล้ว<br>- ตีบวกเครื่องป้องกันเพื่อให้พลังป้องกันสูงขึ้น<br>- เลี้ยง Mag ให้พัฒนา เพื่อพลังป้องกันที่สูงขึ้น"""
text102#0,"""ร้านรับตีบวกชุดป้องกันคือ ItemLab ที่อยู่บน ShoppingArea<br>หากรู้สึกว่าสู้ไม่ไหว ลองกลับมาตีบวกดูนะคะ"""
11_voice_NPC_5050_100#1,"""準備はよろしいですか？<br>それでは、惑星アムドゥスキア<br>浮遊大陸の探索許可申請試練、開始。"""
text02#1,"""持てる力と技術を示してください。<br>健闘を期待します。"""
text100#1,"""『射撃耐性』について"""
text101#1,"""『射撃耐性』について説明します。<br><br>地下坑道には遠距離から攻撃するエネミーが多数出現します。<br><br>この攻撃に耐えるには、いくつかの対策が行えます。<br>・ショットレジスト、リアクトの特殊能力が付いている<br>\u3000防具を装備する。<br>・防具自体を強化して、防御力を上昇させる。<br>・マグを成長させて、防御力を上昇させる。"""
text102#1,"""防具の強化は、ショップエリアのアイテムラボで行えます。<br>苦戦している場合には、強化してみましょう。"""
