ra_010540_0010#0,"""〔<%me>〕<br>〔你來啦〕〔又見面了〕<br>〔泰利歐特〕〔我很感謝你〕"""
ra_010540_0020#0,"""〔那位研究人員〕〔分頭行動嗎？〕<br>〔有點〕〔可惜〕"""
ra_010540_0030#0,"""〔我們〕〔感到很不滿〕<br>〔可以說〕〔他實在是無禮至極〕"""
ra_010540_0040#0,"""〔希認為〕〔無傷大雅〕<br>〔然而〕〔寇卻非常地憤慨〕<br>〔甚至還說〕〔要把他給吃掉〕"""
ra_010540_0050#0,"""〔你們〕〔應該沒有惡意吧〕<br>〔我們〕〔並非愚不可及〕<br>〔現在的狀況〕〔我們很清楚〕"""
ra_010540_0060#0,"""〔然而〕〔這些事實〕<br>〔卻被尊嚴給〕〔束縛住了〕<br>〔寇的想法〕〔特別偏激〕"""
ra_010540_0070#0,"""〔希認為〕〔你們沒有惡意〕<br>〔正因為如此〕〔寇完全不認同你們〕"""
ra_010540_0080#0,"""〔ARKS會〕〔帶來災難〕<br>〔這就是他的想法〕〔所以他不願認同你們〕"""
ra_010540_0090#0,"""〔他的想法〕〔不但無所作為〕〔而且無濟於事〕<br>〔然而〕〔他無法改變的〕<br>〔潮流也將到來〕"""
ra_010540_0100#0,"""〔將我們〕〔束縛住的〕<br>〔是如同堤防一般的〕〔鎖鏈〕"""
ra_010540_0110#0,"""〔儘管如此〕〔我還是有所期待〕<br>〔希望你能夠〕〔為我們〕<br>〔帶來變化〕"""
ra_010540_0120#0,"""A.P.238/3/22"""
ra_010540_0010#1,"""〔<%me>〕<br>〔よく来た〕〔再会を〕<br>〔テリオトーに〕〔感謝する〕"""
ra_010540_0020#1,"""〔あの研究者は〕〔別行動か〕<br>〔いささか〕〔残念だ〕"""
ra_010540_0030#1,"""〔我らから〕〔不満が出ている〕<br>〔曰く〕〔甚だ無礼であると〕"""
ra_010540_0040#1,"""〔ヒは〕〔まだいい〕<br>〔だが〕〔コは憤慨している〕<br>〔食らってしまえ〕〔とも聞いた〕"""
ra_010540_0050#1,"""〔そなたたちに〕〔悪意はないだろう〕<br>〔我らとて〕〔愚かではない〕<br>〔状況は〕〔理解している〕"""
ra_010540_0060#1,"""〔だが〕〔理解を〕<br>〔誇りが〕〔縛りつける〕<br>〔コは〕〔特にそうだ〕"""
ra_010540_0070#1,"""〔ヒは〕〔認めた〕<br>〔だからこそ〕〔コは認めぬ〕"""
ra_010540_0080#1,"""〔アークスは〕〔災厄を招く〕<br>〔そう判断し〕〔認めようとしない〕"""
ra_010540_0090#1,"""〔それは〕〔無為で〕〔無益である〕<br>〔だが〕〔変えられぬ〕<br>〔流れでもある〕"""
ra_010540_0100#1,"""〔我らを〕〔縛る〕<br>〔しがらみであり〕〔鎖だ〕"""
ra_010540_0110#1,"""〔それでも〕〔我は期待する〕<br>〔そなたが〕〔我らに〕<br>〔変化をもたらすと〕"""
ra_010540_0120#1,"""A.P.238/3/22"""
