ra_043050_0001#0,"""A.P.241/4/2"""
ra_043050_0010#0,"""接下來，是關於那些出現在地球上的怪物……<br>也就是幻創種的情報。"""
ra_043050_0020#0,"""大氣中的以太<br>會具現化為怪物的外形，並襲擊我們。"""
ra_043050_0030#0,"""而這其中最容易顯現的<br>是地球上的人們潛意識裡<br>感到害怕，或是感到不擅長應付的東西。"""
ra_043050_0040#0,"""看來不管是在哪個世界裡<br>都同樣難以消抹掉負面印象呢。"""
ra_043050_0050#0,"""同時，由於它們充其量也只是以太的具現化<br>因此那些不具有運用以太素質的人<br>不僅認知不到它們，也不會被它們所影響。"""
ra_043050_0060#0,"""但若是放任不管，構成它們身體的<br>以太純度便會越來越高，而超過一定限度後<br>便也能對現實造成干涉。"""
ra_043050_0070#0,"""……講兩句題外話，像這種純度增加後<br>得以具現化的幻創種，據說自古以來<br>都會被地球上的人稱作「天使」或是「惡魔」。"""
ra_043050_0080#0,"""比起這種民間傳聞，我倒真是希望他們<br>多收集點和問題有關的情報呢。<br>……啊失禮了，不應該在這兒抱怨的。"""
ra_043050_0090#0,"""而這幻創種的反應，特別是在最近有所增加<br>我們ARKS，正極為隱秘地在暗地裡進行處理。"""
ra_043050_0100#0,"""我們有在一邊參照著「協助者」提供的情報<br>一邊迅速地推進鎮壓活動。<br>在幻創種造成危害之前，把它們全給打散。"""
ra_043050_0110#0,"""順便一提，在戰鬥時還會展開專用的封閉領域<br>以防止一般人進入其中<br>所以在裡面大鬧特鬧也沒問題哦。"""
