11_voice_NPC_5026_100#0,"""โอ..ท่านทำได้ดีมากเลย ข้าเห็นรายงานแล้ว<br>การกวาดล้างพวกมันช่างสวยงามจริงๆ!"""
text02#0,"""ท่านชำนาญเรื่องการใช้พลังและการระเบิดของ Grenade<br>launcher จริงๆ!"""
text03#0,"""แต่ดูเหมือนอาวุธจะถูกมือท่านยังกับถุงมือแน่ะ<br>ท่านเอามันไปเลย!"""
text04#0,"""ข้าพอใจกับรายงานฉบับนี้มา ดังนั้น..."""
text05#0,"""จงทำดีต่อไป และทำให้แน่ใจว่าศัตรู<br>จะต้องทรมาณที่สุดก่อนมันจะตาย"""
linewindow001#0,"""ตอนนี้ท่านสามารถเชิญ Risa มาเป็นพาร์ทเนอร์ได้แล้ว"""
text100#0,"""Client Order"""
text101#0,"""Joseph ได้ออก Client Order<br><br>ท่านสามารถพบเขาได้ที่ประตูด้านบน"""
11_voice_NPC_5026_100#1,"""ふふ……お疲れ様でしたあ。<br>報告も見ましたよお。<br>すばらしい……と思わず震えますねえ。"""
text02#1,"""ランチャーの特長である<br>圧倒的火力と広域爆発。<br>上手く使っていますものねえ。"""
text03#1,"""そのランチャーも<br>あなたの手に馴染んでいるようですし<br>そのまま持っていってくださいねえ。"""
text04#1,"""わたしは、この報告を見ることが<br>出来ただけで満足ですからねえ。"""
text05#1,"""それでは、今後もランチャーを<br>上手く使って、敵さんをいっぱい<br>たくさん苦しめてあげてくださいねえ。"""
linewindow001#1,"""<br>リサをパートナーとして呼べるようになりました。<br>"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""ジョーゼフにクライアントオーダーが発生しました。<br><br>ジョーゼフはゲートエリア2階にいます。"""
