name01#0,"""シエラ"""
11_voice_train_04001#0,"""こんにちは！<br>ここでは「ヒーローの基礎」に<br>ついて訓練しましょう。"""
text02#0,"""ヒーローは、<red>多数相手に単独制圧<c>が<br>コンセプトの新クラスです。"""
text03#0,"""ソード、ツインマシンガン、タリスを<br>使いますが、今までとは全く異なる<br>使い方になります！"""
text04#0,"""まずはソードのフォトンアーツ<br><red>「ブライトネスエンド」の長押しによる<br>派生攻撃<c>を当ててみましょう！"""
text101#0,"""課題１：<yellow>ソードの「ブライトネスエンド」の長押し派生攻撃を当てる"""
train_title#0,"""課題１：<yellow>ソードの「ブライトネスエンド」の長押し派生攻撃を当てる"""
tut_title#0,"""「ブライトネスエンド」の派生攻撃について"""
text100#0,"""・<%PhotonArts>で「ブライトネスエンド」を発動<br>・長押し派生攻撃をエネミーに当てる"""
tut_win_title#0,"""『ヒーローソード』について"""
tut_win_text100#0,"""ヒーローが装備したソード<br>「ヒーローソード」について説明します。<br><br>ヒーローソードは、広い攻撃範囲と<br>素早い攻撃速度が特徴です。<br><br>ヒーローソードのＰＡには<br>ＰＡボタンを長押しすることで<br>追加アクションが発生するものや<br>チャージができるもの<br>他のヒーロー武器に自動装備切り替えを<br>行うものが存在します。"""
