linewindow#0,"""ติดตั้งกับดัก"""
text00#0,"""ติดตั้งกับดัก"""
text01#0,"""ติดตั้งกับดัก<br><br>กับดักเป็น Skill ของ Ranger <br>กับดักที่วางจะมีระยะเวลาหนึ่ง และจะระเบิดเมื่อมีศัตรูเข้ามาใกล้"""
text02#0,"""เมื่อติดตั้งกับดัก จะมีเวลาปรากฏขึ้นมา<br>การนับเวลาถอยหลังจะเริ่มเมื่อกับดักติดตั้งเสร็จสิ้น"""
text03#0,"""เมื่อเวลานับถอยหลังถึง 0 กับดักจะระเบิด<br><br>ระยะและผลของการระเบิดขึ้นอยู่กับประเภทของกับดักที่ติดตั้ง"""
text04#0,"""ในการใช้กับดัก ท่านต้องเรียน Skill ที่เกี่ยวของกับกับดักของ Ranger<br>กับดักสามารถซื้อได้จากร้านค้า<br><br>จงใช้กับดักอย่างฉลาดเพื่อพลิกสถานการณ์ในยามคับขัน"""
text101#0,"""ได้ใช้ Grenade Launcher ทำลายสิ่งต่างๆ <br>แล้วรู้สึกดีใช่ไหมล่ะ?"""
text102#0,"""เมื่อท่านเคยชินกับอาวุธที่มีพลังทำลายล้างสูงแล้ว <br>ก็อยากให้ท่านใช้มันให้ถนัดด้วยล่ะนะ"""
text103#0,"""แต่ข้าก็คงไม่ต้องห่วงท่านมากหรอกใช่ไหม<br>ไว้เจอกันใหม่ในการฝึกฝนครั้งหน้าล่ะกัน"""
linewindow#1,"""<br>『トラップ』について<br>"""
text00#1,"""『トラップ』について"""
text01#1,"""トラップについて<br><br>トラップは、レンジャーのスキルの１つです。<br>時限式のトラップをフィールドに設置し<br>敵を爆発に巻き込ませることが可能です。"""
text02#1,"""設置したトラップは、タイマーが上部に表示され<br>設置したタイミングから、カウントダウンが始まります。"""
text03#1,"""タイマーが０になったタイミングで起爆します。<br><br>爆発の範囲や、効果はトラップの種類によって異なります。"""
text04#1,"""トラップを使用するには、レンジャースキルの<br>トラップスキルを各種取得する必要があります。<br>トラップ自体は、ショップなどから購入が可能です。<br><br>危機的状況において、トラップを活用しつつ窮地を切り抜けましょう。"""
text101#1,"""ご苦労だった。<br>ランチャーは使っていて<br>気持ちいいだろう？"""
text102#1,"""威力が強い武器は<br>慣れると本当に便利だから<br>この調子で頑張ってほしい。"""
text103#1,"""まあ私はそれほど心配していない。<br>また特訓で会うのが楽しみだよ。"""
