name_7448#0,"""カツラギ"""
ssn_015334_0010#0,"""そうですか……！\u3000とても助かります。<br>では、聞いてください。"""
ssn_015334_0020#0,"""先日、ドライゼンプラントの内部で、<br>偵察隊が、ある“ドールズの集団”に遭遇したんです。"""
ssn_015334_0030#0,"""通常のドールズとは、<br>明らかに異なる物々しい雰囲気だったらしく……。"""
ssn_015334_0040#0,"""戦ってみたものの、手も足も出ず、<br>すぐに後退することになったのだとか。"""
ssn_015334_0050#0,"""わたしたちは、このドールズの集団を、<br>“リーコンギガンツ”と呼んでいます。"""
ssn_015334_0060#0,"""文字どおり、ギガンティクスのように強力な、<br>ドールズの斥候ですね。"""
ssn_015334_0070#0,"""大きな被害が出る前に、<br>対策を練りたいのですが……。"""
ssn_015334_0080#0,"""相変わらず、割ける人員が不足していまして……。"""
ssn_015334_0090#0,"""そこで、再びデータの収集に、<br>ご協力いただければと思います。"""
ssn_015334_0100#0,"""相手の力は、未知数ですので、<br>今回は接触するだけで大丈夫です。"""
ssn_015334_0110#0,"""……もちろん、<br>倒してしまってもよいのですが……。"""
ssn_015334_0120#0,"""繰り返しになりますが、<br>くれぐれも、気をつけて臨んでください。"""
