name_7211#0,"""シャンディー"""
ssn_019220_002_0010#0,"""来てくれて、ありがとうございます。<br>あらためて、自己紹介を。"""
ssn_019220_002_0020#0,"""私は、シャンディー。ハルファで発生する<br>さまざまな特異現象を研究しています。"""
ssn_019220_002_0030#0,"""あなたを呼んだのは、今起きている<br>現象の調査を手伝ってもらいたいと思ってまして。"""
ssn_019220_002_0011#0,"""来てくれて、ありがとうございます。"""
ssn_019220_002_0021#0,"""今回も、あなたに調査を<br>お願いできればと思っているのですが……。"""
ssn_019220_002_0040#0,"""実は、このところクヴァリスリージョンで、<br>未知の気象現象が確認されているんです。"""
ssn_019220_002_0050#0,"""その影響なのか、樹木などにも変化があって、<br>調査を進めているところです。"""
ssn_019220_002_0060#0,"""ちょうど、変化を観察しやすい場所を、<br>ピックアップしてみたのですが……。"""
ssn_019220_002_0070#0,"""あなたにも、いくつかの場所で、<br>データの収集を頼めないでしょうか？"""
ssn_019220_002_0080#0,"""都合のよいときで大丈夫ですので、<br>よろしくお願いします。"""
ssn_019220_002_0300#0,"""<%me>さん、<br>ありがとうございます。"""
ssn_019220_002_0310#0,"""今回の天候変化は、<br>やはりクヴァリスでは異質なもののようです。"""
ssn_019220_002_0320#0,"""因果関係については、<br>もう少し調べてみる必要がありそうですが……。"""
ssn_019220_002_0330#0,"""もしよければ、<br>あなたも引き続き、調査への協力を頼めないでしょうか？"""
ssn_019220_002_0340#0,"""この現象が、エネミーになにか<br>影響を与えていないかも気になりますので。"""
ssn_019220_002_0350#0,"""それでは、よろしくお願いしますね。"""
ssn_019220_002_0900#0,"""今のクヴァリスの樹木、<br>一見するとキレイでいいですよね。"""
ssn_019220_002_0910#0,"""研究者としては、その変化を<br>素直に楽しめないのが悩みどころです。"""
npc_menu_0010#0,"""シーズナルポイントと交換する（$(0)まで）"""
npc_menu_0020#0,"""ニューイヤー'24のシーズナルポイントと交換する（$(0)まで）"""
npc_menu_0030#0,"""鉱石と交換する（$(0)まで）"""
npc_menu_0040#0,"""アイテムリサイクル（$(0)まで）"""
npc_menu_0050#0,"""シーズナルイベントについて聞く"""
npc_menu_0060#0,"""メニューを閉じる"""
npc_menu_1010#0,"""“シーズナルイベント”について"""
npc_menu_1020#0,"""“シーズンエネミー”について"""
npc_menu_1040#0,"""“シーズナルリージョンマグ”について"""
npc_menu_1050#0,"""“ランダマイト”について"""
npc_menu_2000#0,"""聞きたいことはない"""
