un_020500_0010#0,"""อ๊ะ <%me> <br>สบายดีมั้ย? ชั้นเองก็สบายดี"""
un_020500_0020#0,"""ชั้นทำตามที่คุณ Filia สั่ง<br>เรียบร้อยทุกอย่างเลยล่ะ<br>Photon Magic เองก็ฝึกฝนด้วยนะ"""
un_020500_0030#0,"""แต่ว่า Rod ที่เตรียมมาให้ชั้น<br>รู้สึกอึดอัด ใช้ยากจังเลย<br>จะเรียกว่าไม่เหมาะก็ได้มั้ง?"""
un_020500_0040#0,"""......คิกคิก ทั้งๆ ที่อันอื่นก็ไม่เคยใช้<br>แท้ๆ แต่ยังจะมาเลือกมากแบบนี้อีก<br>เดี๋ยวคุณ \u00a0Filia ได้โกรธอีกแน่ๆ เลย"""
un_020500_0050#0,"""แต่ถึงจะอย่างนั้น ยิ่งชั้นฝึกมากเท่าไหร่<br>ชั้นก็รู้สึกว่ายิ่งทำได้ดีมากขึ้นเรื่อยๆ<br>......อื้ม เรียกได้ว่าสนุกนิดๆ หรือเปล่าน้า"""
un_020500_0060#0,"""......แม้ว่าชั้นจะยังจินตนาการภาพที่ตัว<br>ชั้นเองกำลังต่อสู้อยู่ไม่ออกก็เถอะ"""
un_020500_0070#0,"""ก็นั่นไงล่ะ ในจินตนาการของชั้น<br>คุณได้ปกป้องชั้น<br>ซะจนชั้นไม่จำเป็นต้องสู้เลย......"""
un_020500_0080#0,"""ตะ แต่ว่า ชั้นเองก็จะพยายาม<br>เต็มที่ เพื่อที่จะทำให้ยืนอยู่<br>เคียงข้างคุณได้......"""
un_020500_0090#0,"""และเมื่อถึงตอนนั้น<br>ชั้นก็จะช่วยคุณเองนะ<br><%me>"""
un_020500_0010#1,"""あ、<%me>。<br>元気？\u3000わたしも元気。"""
un_020500_0020#1,"""ちゃんとフィリアさんの<br>言いつけ守ってるよ。<br>テクニックの練習もしてるしね。"""
un_020500_0030#1,"""でも、準備してもらったロッド。<br>なんだか窮屈で、使いにくいんだ。<br>しっくりこない、って言うのかな？"""
un_020500_0040#1,"""……ふふっ、それ以外のものを<br>使ったこともないのに、選り好みって<br>またフィリアさんに怒られちゃうね。"""
un_020500_0050#1,"""それでも、やればやるほど<br>上手くなっていく気がして<br>……うん。ちょっと、楽しいかな。"""
un_020500_0060#1,"""……自分が戦ったりするのは<br>まだ、あんまり想像できないけど。"""
un_020500_0070#1,"""ほら、わたしの想像の中のわたしは<br>あなたに守ってもらってて<br>戦うことは、ないから……"""
un_020500_0080#1,"""で、でもでも、わたしも<br>頑張って努力して、あなたの<br>隣に立てるようになったら……"""
un_020500_0090#1,"""そのときは、わたしが<br><%me>を<br>助けてあげるから、ね。"""
