name01#0,"""Reda"""
name01#1,"""レダ"""
text00#0,"""โอ๊ะ เสร็จแล้วเรอะ !<br>ขอบใจมากนะ !"""
text01#0,"""ยอดเยี่ยมไปเลย !<br>ไว้จะไปกวนใหม่นะ !"""
text02#0,"""โทษนะที่ต้องขอให้ช่วย<br>แต่เบาแรงไปเยอะเลย ขอบใจมากนะ !"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""お、できたか！<br>ありがとな！"""
text01#1,"""上出来じゃん！<br>次も頼むよ！"""
text02#1,"""悪かったな、頼んじまって。<br>助かったよ、ありがとな！"""
text03#1,"""ありがとう03"""
text00#2,"""โอ้วว !<br>ตะลึงไปเลยเรา !<br>ขอบคุณมากนะ !"""
text01#2,"""ว้าว สุดยอด !<br>ทำไมออกมาเจ๋งแบบนี้ล่ะ !<br>คิดไม่ผิดจริงๆที่ขอให้ช่วย !"""
text02#2,"""สมบูรณ์แบบสุดๆ !<br>เฮ้อ ช่วยได้เยอะเลยล่ะ<br>คราวหน้าก็วานหน่อยนะ !"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""おおおっ！<br>びっくりしたよ！<br>ありがとな！"""
text01#3,"""うわー、すげー！<br>なにこれ、最高じゃん！<br>お前に頼んで良かったよ！"""
text02#3,"""すっげーいい出来じゃん！<br>いやー、マジ助かったよ。<br>次もよろしくな！"""
text03#3,"""本当にありがとう03"""
