un_020470_0010#0,"""อ๊ะ ยินดีต้อนรับกลับจ้ะ<br>ครั้งนี้ไปสถานที่แบบไหน<br>มาเหรอ?"""
un_020470_0020#0,"""......โลกที่เต็มไปด้วยน้ำเหรอ การที่มีคลื่นด้วย<br>ก็แสดงว่าเป็นดวงดาวแห่งท้องทะเลสินะ?"""
un_020470_0030#0,"""ถ้าทะเลเทียมละก็จริงอยู่ว่า<br>ที่ใน ARKS Ship เองก็มีแต่ว่าทะเล<br>ตามธรรมชาตินี่จะให้ความรู้สึกยังไงน้า"""
un_020470_0040#0,"""......ทะเลนี่ดีจังเลยเนอะ<br>ชั้นน่ะพอได้ฟังเสียงคลื่นแล้ว<br>ก็รู้สึกใจสงบมากๆ เลยล่ะ"""
un_020470_0050#0,"""ทั้งเสียงของคลื่นและภาพน่ะชั้นน่า<br>จะเคยเห็นในข้อมูลเท่านั้นเองแท้ๆ<br>นี่น่ะเค้าเรียกว่า ความคิดถึง หรือเปล่านะ?"""
un_020470_0060#0,"""เค้าพูดกันว่าทะเลเป็นต้นกำเนิดแห่งชีวิต<br>ถ้าเป็นแบบนั้น ชั้นก็คงจะรู้สึกคิดถึงใน<br>แง่นั้นล่ะมั้ง """
un_020470_0070#0,"""ถ้าโลกสงบสุขเมื่อไหร่ชั้นก็<br>อยากจะลองไปว่ายในทะเล<br>ตามธรรมชาติดูสักครั้งจังเลย"""
un_020470_0080#0,"""......อ๊ะ ขอโทษนะ<br>คุณไม่ได้ไปเที่ยวเล่นนี่นะ"""
un_020470_0090#0,"""แต่ว่าการที่สามารถได้เห็น<br>สิ่งเหล่านั้นเป็นครั้งแรกก่อนใคร<br>นี่เป็นสิทธิพิเศษเฉพาะ ARKS เลยนะ"""
un_020470_0100#0,"""......น่าอิจฉานิดๆ จังเลยน้า<br>บางครั้งชั้นก็คิดนะว่าถ้าหากสามารถ<br>ไปกับคุณได้ล่ะก็......"""
un_020470_0010#1,"""あ、おかえりなさい。<br>今度はどんなところに<br>行けるようになったの？"""
un_020470_0020#1,"""……一面水だらけの惑星、かあ。<br>波打ってるってことは、海の惑星かな？"""
un_020470_0030#1,"""アークスシップの中にも<br>人工の海洋ならあるけど<br>自然の海ってどんな感じなんだろう。"""
un_020470_0040#1,"""……海って、なんだか素敵だよね。<br>あの波のさざめきを聞いてると<br>すごく、心が落ち着くの。"""
un_020470_0050#1,"""波の音も映像もデータでしか<br>見たことないはずなんだけど<br>これって、懐かしさ、なのかな？"""
un_020470_0060#1,"""海は生命の起源とまで言われるし<br>もしかしたら、そういう縁で<br>懐かしく感じてるのかも。"""
un_020470_0070#1,"""世界が平和になったら<br>一度、その自然の海で<br>泳いでみたいな、なんて……"""
un_020470_0080#1,"""……あ、ごめんなさい。<br>遊びに行ってるわけじゃないもんね。"""
un_020470_0090#1,"""でも、そういうものを<br>真っ先に見られるのは<br>アークスの特権だよね。"""
un_020470_0100#1,"""……ちょっと、羨ましいな。<br>わたしもあなたと一緒に行けたら、って<br>時々、思うから……"""
