ssc_501090_0010#0,"""あっ、<%me>も<br>ここに来てたんだね。"""
ssc_501090_0020#0,"""あたしは、これからロッジに向かうところ。<br>メリと会う約束をしてたんだ。"""
ssc_501090_0030#0,"""メリと仲良くなったんだね。"""
ssc_501090_0040#0,"""なにかの依頼？"""
ssc_501090_0050#0,"""うん、そうなの。"""
ssc_501090_0060#0,"""イルマを救出したあとも、<br>ときどきロッジに遊びに行ってるんだ。"""
ssc_501090_0070#0,"""ううん。<br>今日はふたりでおしゃべりするだけ。"""
ssc_501090_0080#0,"""メリは、最初に会ったときに、<br>なんだか昔から知ってる子のような気がしてさ。"""
ssc_501090_0090#0,"""マノンと出会うまで、<br>周りに歳の近い子なんていなかったのに。"""
ssc_501090_0100#0,"""育ってきた環境も全然違うし、<br>なんでだろうと思ってたんだけど……。"""
ssc_501090_0110#0,"""ちょっと前に、兄弟が口喧嘩してるのを、<br>メリが止めてるのを見て、気づいたんだ。"""
ssc_501090_0120#0,"""エアリオタウンのみんなは、<br>普段は仲良しだったんだけど、ちょっとモメるとね。"""
ssc_501090_0130#0,"""お互いに、誇りとか、こだわりとか、<br>ある人たちだったから、なかなか引っ込みがつかなくて。"""
ssc_501090_0140#0,"""そこでよく、あたしが止めに入ってたんだ。"""
ssc_501090_0150#0,"""なんか、メリとは輪のなかでの役割が、<br>似てたのかなって思ったの。"""
ssc_501090_0160#0,"""ほかにも、戦いに疲れて帰ってきたみんなに、<br>料理をふるまったりとか。"""
ssc_501090_0170#0,"""たくさん食べてくれるのはいいんだけど、<br>作ったぶんがすぐになくなっちゃったり。"""
ssc_501090_0180#0,"""次は、あれが食べたい、<br>これが食べたいって頼まれたり……。"""
ssc_501090_0190#0,"""そういう話をすると、<br>メリも「わかるわかる」って言ってくれるの。"""
ssc_501090_0200#0,"""それで、共感しあって、<br>よくふたりで会ってるんだ。"""
ssc_501090_0210#0,"""もしよかったら、キミも来る？"""
ssc_501090_0220#0,"""ふたりの邪魔しちゃ悪いから。"""
ssc_501090_0230#0,"""ごめん、ほかに用事が……。"""
ssc_501090_0240#0,"""そんなことないけど……。"""
ssc_501090_0250#0,"""でも、メリにも伝えてないから、<br>いきなり連れてったらびっくりしちゃうかも。"""
ssc_501090_0260#0,"""うん。そうだね。<br>じゃあ、また今度！"""
ssc_501090_0270#0,"""そっか。<br>じゃあ、また今度ね。"""
ssc_501090_0280#0,"""あ、そろそろ時間だ。<br>行かなくちゃ。"""
ssc_501090_0290#0,"""それじゃあね！"""
