IncidentName#0,"""Angel of Flame"""
TrialBeginMsg#0,"""ช่วยพลเรือนที่ถูกล้อมรอบด้วยเพลิง!"""
TrialAbstract#0,"""ช่วยพลเรือนที่ถูกล้อมรอบด้วยเพลิง!"""
IncidentName#1,"""炎のＡＮＧＥＬ"""
TrialBeginMsg#1,"""炎に囲まれた要救助者を救助せよ！"""
TrialAbstract#1,"""炎に囲まれた要救助者を救助せよ！"""
NpcComOnBegin#0,"""มีผู้คนมากมายอยู่ในโซนที่อยู่อาศัย<br>ซึ่งไม่สามารถหลบหนีได้!<br>เข้าไปช่วยเหลือพวกเขาเร็วเข้า!"""
NpcComOnSuccess#0,"""/face2 Sensor ปฏิกริยาแจ้งว่า<br>พลเรือนทั้งหมดออกไปอย่างปลอดภัยแล้ว<br>เยี่ยมยอดมาก!"""
NpcComOnFailure#0,"""ท่านออกไปจากที่นี่ได้แล้ว!<br>มันสายเกินไปแล้ว!<br>พวกเราจะย้ายพลเรือนออกจากที่นี่เอง!"""
NotifyPos#0,"""มีปฏิกริยายืนยันตำแหน่งของพลเรือนในจุดต่างๆ<br>จงไปช่วยเหลือพวกเขาให้ไวที่สุด!"""
NotifyMethod#0,"""เพื่อที่จะเคลื่อนย้ายพวกเขาอย่างปลอดภัย<br>ท่านต้องดับไฟให้หมดและส่งตำแหน่งพิกัดมาให้พวกเรา"""
FirstTrans#0,"""ยืนยันพิกัดของพลเรือน<br>เตรียมพร้อมเคลื่อนย้าย!<br>ดำเนินการค้นหาพลเรือนต่อไป"""
RescueeFound#0,"""พลเรือนถูกล้อมรอบด้วยเปลวไฟ<br>ถ้าท่านไม่นำพวกเขาออกมาแล้วเคลื่อนย้ายไป<br>มันจะเป็นอันตรายมาก!"""
GeneratorAdd#0,"""มีปฏิกริยาของพลเรือนเพิ่มเติม<br>ช่วยเหลือพวกเขาให้ได้!"""
TimeLimitNear#0,"""ทุกอย่างตอนนี้ดูแย่มาก!<br>เร็วเข้า! พลเรือนไม่เหลือเวลามากนักแล้ว!"""
TimeLimitHurry#0,"""สภาพของพลเรือนในขณะนี้อยู่ในสถานะวิกฤตแล้ว!<br>ท่านต้องรีบแล้ว!"""
RescueMethod#0,"""ดับเปลวเพลิงเรียบร้อย<br>โปรดส่งพิกัดสำหรับพลเรือนมาด้วย"""
NpcComOnBegin#1,"""市街地のあちこちで、逃げ遅れた人が<br>救助を待っています！<br>至急救助に向かって下さい！"""
NpcComOnSuccess#1,"""/face2 反応のあった全ての要救助者の<br>救助を確認しました。<br>お疲れ様でした！"""
NpcComOnFailure#1,"""これ以上は危険です！<br>リスクは高いですが、要救助者全員を<br>強制的に転送します！"""
NotifyPos#1,"""要救助者の位置を確認しました。<br>マーカーに表示された<br>要救助者を助け出してください！"""
NotifyMethod#1,"""安全に転送するため<br>消火後、要救助者にアクセスして<br>正確な座標を送ってください。"""
FirstTrans#1,"""要救助者の座標を特定。<br>転送確認完了です！<br>救助を続けて下さい！"""
RescueeFound#1,"""要救助者が炎に囲まれています。<br>炎を消さないと、転送は危険です。<br>まずは消火してください。"""
GeneratorAdd#1,"""新たな要救助者を確認しました。<br>全て救助してください！"""
TimeLimitNear#1,"""要救助者、危険な状況です！<br>急いで救助に向かってください！"""
TimeLimitHurry#1,"""要救助者のバイタル、危険域です！<br>急いでください！"""
RescueMethod#1,"""消火を確認。<br>要救助者にアクセスし、<br>正確な座標を送ってください。"""
NpcComOnBegin#2,"""พลเรือนได้ติดอยู่รอบๆ บริเวณที่อยู่อาศัย<br>เร็วเข้า พวกท่านต้องไปช่วยพวกเขา!"""
NpcComOnSuccess#2,"""เราได้ยืนยันว่าพลเรือนทุกคนถูกเคลื่อนย้าย<br>กลับมาอย่างปลอดภัย ทำได้ดีมาก"""
NpcComOnFailure#2,"""ไม่มีเวลาแล้ว! ท่านต้องออกจากที่นี่!<br>เราจะเคลื่อนย้ายพลเรือนที่เหลือเอง!"""
NotifyPos#2,"""ปฏิกริยาพบตำแหน่งของพลเรือนในจุดต่างๆ<br>รีบเข้าไปช่วยเหลือพวกเขาเร็ว!"""
NotifyMethod#2,"""เราได้พิกัดของพลเรือนแต่ละคนเพื่อ<br>เคลื่อนย้ายพวกเขากลับมาอย่างปลอดภัย<br>แต่ก่อนอื่นท่านต้องดับไฟเสียก่อน"""
FirstTrans#2,"""ยืนยันพิกัดของพลเรือนและเคลื่อนย้ายเสร็จสมบูรณ์<br>ดำเนินการต่อไปจนกว่าพลเรือนทั้งหมดจะถูกช่วยเหลือ"""
RescueeFound#2,"""ค้นพบพลเรือน! มันเสี่ยงเกินไปที่จะ<br>เคลื่อนย้ายพวกเขาโดยไม่จัดการกับไฟก่อน!<br>ฝากท่านจัดการด้วยล่ะ"""
GeneratorAdd#2,"""ค้นพบปฏิกริยาของพลเรือน<br>ค้นหาพวกเขา เร็วเข้า!"""
TimeLimitNear#2,"""เวลาเราไม่ค่อยเหลือแล้ว...<br>เร็วเข้า พยายามช่วยพวกเขาให้มากที่สุด"""
TimeLimitHurry#2,"""ถ้าอยู่ตรงนี้นานไปกว่านี้จะเป็นอันตราย<br>เร็วเข้า!"""
RescueMethod#2,"""เปลวเพลิงถูกดับแล้ว<br>เราสามารถเคลื่อนย้ายได้อย่างปลอดภัยแล้ว<br>โปรดส่งพิกัดพลเรือนมาให้เราด้วย"""
NpcComOnBegin#3,"""市街地で広域にわたって<br>要救助者が存在する。<br>急ぎ救助に向かえ。"""
NpcComOnSuccess#3,"""全ての要救助者の転送を確認。<br>よくやった。"""
NpcComOnFailure#3,"""もう間に合わん。<br>リスクは相当に高いが<br>要救助者全員を強制転送する！"""
NotifyPos#3,"""要救助者の位置を確認。<br>マーカーに表示する。<br>迅速に救助に向かえ。"""
NotifyMethod#3,"""安全に転送するには<br>正確な座標が必要となる。<br>消火後、要救助者に接触しろ。"""
FirstTrans#3,"""要救助者の座標を確認、転送完了。<br>その調子で全て救助しろ。"""
RescueeFound#3,"""要救助者発見。<br>炎を消さねば転送にもリスクが伴う。<br>まずは炎を消火し、救助しろ。"""
GeneratorAdd#3,"""新たな要救助者を確認。<br>早急に救助へ向かえ。"""
TimeLimitNear#3,"""流石に時間がかかりすぎたか……<br>可能な限り、急いで救助しろ。"""
TimeLimitHurry#3,"""これ以上は危険だ。<br>急げ！"""
RescueMethod#3,"""消火確認。今なら安全に転送可能だ。<br>要救助者にアクセスし、<br>正確な座標を送れ。"""
NpcComOnBegin#4,"""ยังคงมีพลเรือนอีกมากที่ยัง<br>หนีออกจากบริเวณนี้ไม่ได้!<br>จงรีบไปช่วยเหลือพวกเขา!"""
NpcComOnSuccess#4,"""/face2 เราได้รับข้อมูลแล้ว!<br>พลเรือนทั้งหมดได้ถูกช่วยเหลือ!<br>ยอดมาก!"""
NpcComOnFailure#4,"""/face4 ไม่มีเวลาแล้ว! <br>ถึงจะเสี่ยงแต่คงต้องลองเคลื่อนย้าย<br>พลเรือนที่เหลือดูแล้ว!"""
NotifyPos#4,"""เราได้รับการยืนยันพิกัดของพลเรือน<br>ที่ยังคงเหลือในบริเวณนี้แล้ว<br>รีบไปยังจุดที่ปรากฎเร็วเข้า!"""
NotifyMethod#4,"""เราต้องการพิกัดของพลเรือน<br>เพื่อเคลื่อนย้ายพวกเขากลับมาอย่างปลอดภัย!<br>แต่ท่านจะต้องดับไฟให้เรียบร้อยก่อน!"""
FirstTrans#4,"""/face2 ยืนยันพิกัด! การเคลื่อนย้ายสมบูรณ์!<br>พยายามทำต่อไป!"""
RescueeFound#4,"""มันเสี่ยงเกินไปที่จะเคลื่อนย้ายพวกเขา<br>ระหว่างที่ถูกล้อมรอบด้วยเพลิง!<br>เร็วเข้า ดับไฟเร็ว!"""
GeneratorAdd#4,"""หว่า!<br>มีปฏิกริยาพลเรือนเพิ่ม!<br>ท่านต้องช่วยเหลือพวกเขาให้หมด!"""
TimeLimitNear#4,"""เร็ว! เร็วเข้า!"""
TimeLimitHurry#4,"""/face4 เราใกล้ถึงที่สุดแล้ว!<br>เร็วเข้า! เร็วเข้า!"""
RescueMethod#4,"""/face2 เพลิงถูกดับลงแล้ว!<br>โปรดส่งพิกัดพลเรือนมาให้เราด้วย"""
NpcComOnBegin#5,"""市街地の火災から逃げ遅れた<br>要救助者がたっくさんいますー！<br>至急救助に向かって下さいー！"""
NpcComOnSuccess#5,"""/face2 要救助者全員の救助を<br>確認しましたです！<br>お疲れ様でした！"""
NpcComOnFailure#5,"""/face4 もう、皆さん限界ですー！<br>危険を承知、リスクも踏まえて<br>要救助者を強制転送しますー！"""
NotifyPos#5,"""逃げ遅れた皆さんの<br>位置を確認しました！<br>マーカーを目指してくださいー！"""
NotifyMethod#5,"""要救助者の皆さんを安全に転送<br>するために正確な座標が必要です！<br>消火後にアクセスしてくださいー！"""
FirstTrans#5,"""/face2 座標の確認、完了です。<br>安全に転送できました。<br>その調子ですよー！"""
RescueeFound#5,"""炎に包まれたままだと<br>転送にもリスクが伴いますー！<br>炎を消して助けてあげてください！"""
GeneratorAdd#5,"""わわっ！<br>新たな要救助者の反応ですよ！<br>全部助けてあげてください！"""
TimeLimitNear#5,"""急いで！\u3000急いで下さいー！"""
TimeLimitHurry#5,"""/face4 もう限界です！<br>はやく！\u3000はやく！"""
RescueMethod#5,"""/face2 炎が消えました！<br>要救助者にアクセスして<br>正確な座標を送ってくださいー。"""
