un_020230_0010#0,"""อ๊ะ.... สวัสดีครับ<br> <%me><br>ท่านอาจารย์สบายดีใช่รึเปล่าครับ?"""
un_020230_0020#0,"""ถ้าเป็นห่วงทำไมผมถึงไม่ไปพบเองเหรอครับ?<br>.......เรื่องผมนั้นทำไม่ได้หรอกเพราะผม<br>ไม่มีเหตุที่ทำให้ได้อยู่กับท่านเค้าอีกแล้ว"""
un_020230_0030#0,"""...ผมน่ะเป็นคนของ Organization Void ครับ<br>ที่ๆ ท่านอาจารย์ Aki ทิ้งตำแหน่ง<br>และเดินจากออกมา"""
un_020230_0040#0,"""ว่านยังไงเข้าใจแล้วใช่ไหมล่ะครับ?<br>ผมน่ะเป็นสายลับครับ"""
un_020230_0050#0,"""สายลับถูกส่งมาเพื่อนคอยสอดแนม<br>ว่างานวิจัยของท่านอาจารย์ Aki<br>จะทำให้เกิดปัญหาอะไรหรือไม่"""
un_020230_0060#0,"""แต่ว่า ในที่สุดข้อสรุปก็ออกมาครับ<br>...ว่างานวิจัยของเธอคนนั้นน่ะมันไม่มีค่า"""
un_020230_0070#0,"""......อ้อ จะเอาเรื่องนี้ไปบอกท่าน<br>อาจารย์ก็ได้นะครับ เพราะผม<br>เกรงว่าท่านเองก็น่าจะรู้ตัวอยู่แล้ว"""
un_020230_0080#0,"""ผมน่ะถูกไล่ออกแล้วครับ ดังนั้น<br>ผมคงไปพบท่านอาจารย์ไม่ได้อีกแล้ว"""
un_020230_0090#0,""".......ใช่แล้วครับ<br>ผมเองก็โล่งใจ เพราะผมไม่จำเป็น<br>ต้องคอยดูแลท่านเค้าอีกต่อไปแล้ว"""
un_020230_0010#1,"""あ……こんにちは。<br><%me>さん。<br>先生は元気でやっていますか？"""
un_020230_0020#1,"""気になるなら会いに行けばいいって？<br>……そうはいきませんよ。<br>もう、一緒にいる理由がありません。"""
un_020230_0030#1,"""……僕は虚空機関の者なんです。<br>アキ先生が肩書きを捨て<br>去っていったあの場所の、ね。"""
un_020230_0040#1,"""どういうことかわかりますか？<br>僕は、スパイなんです。"""
un_020230_0050#1,"""アキ先生の研究が、問題のある<br>ものかどうかを判断するために<br>遣わされた、回し者。"""
un_020230_0060#1,"""でも、その結論はすでに出ました。<br>……彼女の研究に、価値はないって。"""
un_020230_0070#1,"""……ああ、このことを先生に<br>言ってもらっても構いませんよ。<br>先生もおそらく、気づいてるはずです。"""
un_020230_0080#1,"""僕は、お役御免です。<br>もう、先生に会うこともありません。"""
un_020230_0090#1,"""……ええ、ええ。<br>せいせいしてますよ、これでもう<br>面倒を見なくてもいいんですから。"""
