11_voice_NPC_5022_103#0,"""โอ๊ย ! โธ่ว้อย !<br>อุตส่าห์ได้อาวุธโหดๆมาทั้งที<br>แต่พลังเราดันไม่พอแล้วจะใช้ได้ยังไงล่ะฟะเนี่ย !"""
11_voice_NPC_5022_103#1,"""あーっ、くそっ！<br>すげー強い武器手に入れても<br>能力が足りないと装備できないのかよ！"""
11_voice_NPC_5022_104#0,"""คิดว่าจะให้เรียนได้หมดทุกสกิลโดยไม่จำกัดซะอีก<br>หรือรู้อยู่แล้วว่าร่างกายรับไม่ไหวรึเปล่า?"""
11_voice_NPC_5022_104#1,"""スキル取得にリミッターなんて付けず<br>全部ばーっと覚えさせてくれればなー。<br>身体がもたねえ、とかなのかな？"""
11_voice_NPC_5022_105#0,"""มันเซ็งก็จริงที่ถูกบังคับว่าต้อง<br>LV. เท่าไหร่ๆ ถึงจะอัพสกิลได้<br>แต่บ่นไปก็ไม่ได้ช่วยอะไรน่ะนะ"""
Reda_03_020#0,"""เพราะดูเหมือนสมัยก่อนเคยให้ทำอะไรก็ได้อย่างอิสระ<br>จนสุดท้ายระบบก็พังหมด<br>...เลยต้องควบคุมอย่างทุกวันนี้"""
11_voice_NPC_5022_105#1,"""成長に合わせてスキルの使用許可が<br>下りるって、まどろっこしいけど<br>仕方のない事なんだってな。"""
Reda_03_020#1,"""なんでも昔、自由にさせてたら<br>大事故が起こっちゃったらしいぜ。<br>……それじゃ、しょーがねーか。"""
11_voice_NPC_5022_107#0,"""จะว่าไป Mag นี่มันมหัศจรรย์จริงๆนะ<br>ให้อะไรมันก็กิน แถมยังช่วยข้าได้ด้วย<br>คนสร้างมันคิดขึ้นมาได้ไงเนี่ย?"""
11_voice_NPC_5022_107#1,"""しっかし、マグって不思議だよなぁ。<br>何でも食うし、補助もしてくれる。<br>どういう仕組みなんだろうな？"""
11_voice_NPC_5022_105#2,"""เจ้าพวก Darker นี่ ถึงฆ่าไปเท่าไหร่เท่าไหร่<br>ก็ยังโผล่มาอีกไม่มีหมดซักที<br>พวกมันมาจากไหนกันแน่เนี่ย?"""
11_voice_NPC_5022_105#3,"""ダーカーって、倒しても倒しても<br>沸いてくるけどさ、あいつらいったい<br>どこからやってきてるんだろうな？"""
11_voice_NPC_5022_100#0,"""จะว่าไป ท่านรู้เรื่องรึป่าว?<br>ไอ้ข่าวดาราสาวที่คนพูดถึงกันให้แซ่ดน่ะ"""
Reda_06_020#0,"""ถึงที่ ARKSLobby จะไม่ค่อยมีคนพูดถึง<br>แต่เห็นว่าที่จริงดังน่าดูอยู่เหมือนกันนะ"""
Reda_06_030#0,"""ฮึ้ยย ตัวจริงจะต้องน่ารักแน่ๆ !<br>อยากเจอซักครั้งนึงจัง"""
11_voice_NPC_5022_100#1,"""そういやおまえ、知ってるか？<br>市民層でウワサのアイドルってやつ。"""
Reda_06_020#1,"""流石にアークスロビーでは<br>あんまり話題にのぼらないけど<br>かなり人気出てきてるらしいぜ？"""
Reda_06_030#1,"""くーっ、どんだけカワイイんだろ！<br>一度会ってみたいもんだなあ。"""
11_voice_NPC_5022_101#0,"""เฮ้นี่ รู้เรื่องรึยัง?<br>อะไร ก็เรื่องดาราสาวคนนั้นไง คนนั้นน่ะ !"""
Reda_07_020#0,"""เห็นเค้าว่ากันว่า คราวนี้จะมาเปิดการแสดงที่นี่ด้วยนะ !<br>อยากดูเร็วๆ จังเลย !"""
11_voice_NPC_5022_101#1,"""おいおい聞いたか？<br>何、ってアイドルの話だよ、アイドル！"""
Reda_07_020#1,"""今度、こっちの方にも<br>慰労訪問するかもしれないんだって！<br>いやー、楽しみだよな！"""
11_voice_NPC_22_101#0,"""เรื่อง Dark Falz คืนชีพแล้วเป็นข่าวใหญ่ก็จริง<br>แต่ยังมีข่าวใหญ่กว่านั้นอีกนะ"""
Reda_mb9_020#0,"""ข่าวอะไร? ก็ข่าวนั่นไง !<br>ที่ Kuhna จะมาเปิดคอนเสิร์ตไงเล่า !<br>ไม่รู้จริงอ่ะ !"""
Reda_mb9_030#0,"""ต้องเกิดสงครามแย่งซื้อตั๋วกันแน่ !<br>เชื่อข้าดิ !"""
11_voice_NPC_22_101#1,"""ダークファルスの復活もタイヘンだけど<br>もう一つタイヘンなことが起きてるぜ。"""
Reda_mb9_020#1,"""何が？\u3000って、あれだよ！<br>アイドルのクーナちゃんのライブ！<br>知らねーのかよ！"""
Reda_mb9_030#1,"""チケット争奪戦らしいぜ！<br>マジでマジで！"""
11_voice_NPC_22_109#0,"""เฮ้อ... ตั๋วคอนเสิร์ต Kuhna<br>ซื้อไม่ทัน...ไม่อยากอยู่แล้วโลกนี้"""
11_voice_NPC_22_109#1,"""ああ……ライブのチケット<br>取れなかった……この世の終わりだ。"""
11_voice_NPC_5022_105#4,"""เจ้าพวก Darker นี่ ถึงฆ่าไปเท่าไหร่ๆ<br>ก็ยังโผล่มาอีกไม่มีหมดซักที<br>พวกมันมาจากไหนกันแน่เนี่ย?"""
11_voice_NPC_5022_105#5,"""ダーカーって、倒しても倒しても<br>沸いてくるけどさ、あいつらいったい<br>どこからやってきてるんだろうな？"""
11_voice_NPC_5022_103#2,"""เชื่อมันเลย เจ้าพวก Darker นี่ต้องบ้าไปแล้ว<br>ทะเลอยู่ตรงหน้าแต่มาขวางไม่ให้เราลงนี่พวกมันบ้ารึป่าว<br>โอ้ย...ผิดหวังกับมันจริงๆ..."""
