GREET_RANGE#0,"""สวัสดีจ้ะ!"""
GREET_SHOP_OPEN#0,"""ยินดีต้อนรับจ้า!"""
GREET_SHOP_DISABLE#0,"""ต้องขอโทษด้วยนะ!<br>วันนี้ทุกชิ้นโดนเหมาจองไปหมดแล้วล่ะ!"""
GREET_SHOP_CLOSE#0,"""ขอบคุณที่มาอุดหนุนน้า!"""
GREET_RANGE#1,"""こんにちはっ！"""
GREET_SHOP_OPEN#1,"""いらっしゃいませっ！"""
GREET_SHOP_DISABLE#1,"""ごめんなさいっ！<br>今日はね、貸し切りなんだ！"""
GREET_SHOP_CLOSE#1,"""ありがとねっ！"""
00_01#0,"""ตัวเลือก 1"""
00_02#0,"""ตัวเลือก 2"""
TALK_ST#0,"""ทำการสนทนา"""
C_ORDER_ST#0,"""ฟังคำปรึกษา"""
00_01#1,"""選択肢その１"""
00_02#1,"""選択肢その２"""
TALK_ST#1,"""会話する"""
C_ORDER_ST#1,"""相談を聞く"""
