NAME#0,"""アンネリーゼ"""
NICKNAME#0,"""クエストカウンター係員"""
HELLO#0,"""己の限界に挑戦だ！"""
HELLO_FAV0#0,"""己の限界に挑戦だ！"""
HELLO_FAV1#0,"""己の限界に挑戦だ！"""
HELLO_FAV2#0,"""己の限界に挑戦だ！"""
HELLO_FAV3#0,"""己の限界に挑戦だ！"""
HELLO_FAV4#0,"""己の限界に挑戦だ！"""
Q0#0,"""己の限界に挑戦だ！"""
TALK_BYE_QUEST#0,"""気合だ！"""
GOODBYE#0,"""もっと熱くなれよ！！！"""
GOODBYE_FAV0#0,"""もっと熱くなれよ！！！"""
GOODBYE_FAV1#0,"""もっと熱くなれよ！！！"""
GOODBYE_FAV2#0,"""もっと熱くなれよ！！！"""
GOODBYE_FAV3#0,"""もっと熱くなれよ！！！"""
GOODBYE_FAV4#0,"""もっと熱くなれよ！！！"""
00_01#0,"""選択肢その１"""
00_02#0,"""選択肢その２"""
TALK_ST#0,"""会話する"""
C_ORDER_ST#0,"""相談を聞く"""
