un_045010_0010#0,"""哦哦，這不是<%me>嘛！<br>怎麼？看我出現在這邊，有這麼意外？"""
un_045010_0020#0,"""神諭那邊世界的戰況，現在都已經安定下來了。<br>所以呢，我就想趁著有空的時候<br>來這邊體驗體驗，習慣下在這兒活動。"""
un_045010_0030#0,"""我聽報告說了，事態的規模正在變得越來越大。<br>而且也說，在不遠的將來<br>還可能會有一場全面大戰。"""
un_045010_0040#0,"""要是那時候，我這堂堂ARKS的門面<br>發揮不出力量，那可就毫無意義了！"""
un_045010_0050#0,"""不過嘛，這兒感覺也大差不差吧。<br>不管是大氣還是重力，好像都沒什麼問題。<br>肯定能讓任何人都發揮出實力來的。"""
un_045010_0060#0,"""但真要說的話，最好還是讓我們<br>根本用不著出動！哈哈哈！"""
un_045010_0070#0,"""修伊先生！<br>還有<%me>！<br>不好意思，想緊急拜託一下兩位！"""
un_045010_0080#0,"""從兩位目前所在位置的附近<br>偵測到了強烈的以太反應！<br>請兩位火速前去調查！"""
un_045010_0090#0,"""這反應的強度……搞不好<br>會是黑暗法爾斯級的幻創種！<br>請兩位火速前去調查！"""
un_045010_0100#0,"""……這可真是的。<br>這莫非就是禍從口出麼？"""
un_045010_0110#0,"""反應的源頭就在那前面！"""
un_045010_0120#0,"""真不好意思啊讓你久等了！<br>雖說不知道這前面有什麼<br>但只要有我本大爺修伊在，就放一萬個……"""
un_045010_0130#0,"""……喂，雪拉。<br>我沒感覺到像是敵人的氣場啊？"""
un_045010_0140#0,"""欸、欸？反應的確是從這附近傳來的呀……<br>但又感覺好像在衰減……？"""
un_045010_0150#0,"""雖說氣場上感覺還挺強的<br>但看來程度也不過如此嘛。<br>真是敗興。"""
un_045010_0160#0,"""咦，那邊的那位<br>不是<%me>嘛？"""
un_045010_0170#0,"""難不成，這傢伙是你的獵物？<br>真是不好意思，不小心偷獵了你的目標。"""
un_045010_0180#0,"""可這獵物的手感也太弱了<br>我這慾望根本得不到滿足。"""
un_045010_0190#0,"""而且我想，讓你們兩位空著手回去<br>……恐怕對我們雙方，也都不算個好結果吧？"""
un_045010_0200#0,"""哦？"""
un_045010_0210#0,"""喂喂……<br>我說你這也太胡來了！"""
un_045010_0220#0,"""……這臂力和反應力都非同一般。<br>我懂了，這傢伙就是之前報告書上<br>提到過的「魔人」吧？"""
un_045010_0230#0,"""哪裡哪裡，居然能抵擋下我的一擊<br>也不虧是極富盛名的六芒均衡呢。"""
un_045010_0240#0,"""……看來就算讓你撤退<br>你也不肯就這麼走吧。"""
un_045010_0250#0,"""那是自然。就如我先前所言<br>我現在的慾望正得不到滿足呢。<br>能不能請二位，稍稍陪我一下？"""
skit01#0,"""TEST"""
skit02#0,"""仮"""
