un_012290_0010#0,"""สวัสดีค่ะ Tia เองค่ะ<br>นี่ Pati จัง<br>ทักทายเค้าหน่อยสิ"""
un_012290_0020#0,"""อ๊ะ เอ่อ Pati..... ค่ะ"""
un_012290_0030#0,"""เอ จะอธิบายยังไงดี พอดีก่อนหน้านี้ <br>ไปได้ยินเรื่อง [นักฆ่าปิดปาก] เข้า<br>ก็เลยเป็นอย่างนี้ล่ะค่ะ"""
un_012290_0040#0,"""เห็นว่ามีคนที่ทำงานเบื้องหลังแบบนั้น<br>แฝงตัวอยู่ในหมู่ ARKS อย่างพวกเราด้วย<br>แต่ก็ยังไม่มีหลักฐานยืนยันน่ะนะ..."""
un_012290_0050#0,"""แล้วดูเหมือนจู่ๆ Pati จังก็เริ่มคิดว่า<br>ตัวเองอาจกำลังตกเป็นเป้าหมาย<br>ของนักฆ่าปิดปากนั่นก็ได้"""
un_012290_0060#0,"""กะ ก็ไม่จริงรึไง!<br>นักฆ่าปิดปากอ่ะ?<br>จะมาฆ่าปิดปากเราไง!"""
un_012290_0070#0,"""เป็นเด็กหนุ่มที่จู่ๆ ก็โผล่มาจากไหนไม่รู้<br>แล้วก็เอามีดมาแทงที่คอ แล้วก็พูด<br>ประโยคเท่ๆ ว่า [แกรู้มากเกินไปแล้ว...]"""
un_012290_0080#0,"""ไม่มีคนแบบนั้นหรอก<br>ถึงจะเป็นนักฆ่าตัวจริงก็เถอะ..."""
un_012290_0090#0,"""อีกอย่างจากที่ฟังมา ดูเหมือนเค้า<br>จะตามเก็บกวาดพวก D-arkers<br>มากกว่าที่จะมายุ่งกับพวก ARKS นี่?"""
un_012290_0100#0,"""เอ๊ะ? งั้นเหรอ?<br>อะโธ่เอ๊ย! ถ้ายังงั้น<br>ชั้นก็ไม่ต้องห่วงอ่ะดี๊!"""
un_012290_0110#0,"""แต่ถ้ายังจู่ๆ ตะโกนบอกข้อมูล<br>อะไรแปลกๆ มั่วซั่วอย่างคราวก่อน<br>อาจโดนเค้าตามมาเก็บเอาจริงๆ ก็ได้"""
un_012290_0120#0,"""อี๊!"""
un_012290_0010#1,"""どうもこんにちは、ティアです。<br>ほら、パティちゃん。<br>きちんと挨拶しないと。"""
un_012290_0020#1,"""あ、えと、パティ……です。"""
un_012290_0030#1,"""ええと、なんと説明したものか。<br>この前、噂で『始末屋』という存在の<br>話を聞いてから、こうなってます。"""
un_012290_0040#1,"""アークス内に、そういう裏の仕事を<br>している存在がいるとかなんとか。<br>何も証拠はないんだけど……"""
un_012290_0050#1,"""それで、なんでかパティちゃんは<br>自分が始末されちゃう、とか<br>考えちゃってるみたい。"""
un_012290_0060#1,"""だ、だってだって！<br>始末屋ってあれでしょ？<br>始末しちゃうヤツでしょ！"""
un_012290_0070#1,"""『おまえは知りすぎたんだ……』<br>とかクールに呟いて、流麗な瞳と共に<br>刃を向けてくる少年とかのことでしょ！"""
un_012290_0080#1,"""いや、そこまで具体的な<br>始末屋像を語られても……"""
un_012290_0090#1,"""それに、噂を聞く感じだと<br>アークスの始末屋というよりも<br>ダーカーの始末が主みたいだよ？"""
un_012290_0100#1,"""あり？\u3000そうなの？<br>な、なーんだ！\u3000だったら<br>あたしたち心配ないじゃん！"""
un_012290_0110#1,"""この前みたいに、大声で<br>ヘンな情報を吹聴してたら<br>流石に始末されるかも、だけど。"""
un_012290_0120#1,"""ひいっ！"""
