msc_022190_0010#0,"""ありがとう。<br>来てくれたのね。"""
msc_022190_0020#0,"""元気そうだね。"""
msc_022190_0030#0,"""体はもう大丈夫？"""
msc_022190_0040#0,"""ええ。<br>おかげさまで。"""
msc_022190_0050#0,"""ええ。<br>もう、すっかり。"""
msc_022190_0060#0,"""今の子は、私が倒れたときに、<br>お見舞いに来てくれたの。"""
msc_022190_0070#0,"""それから、<br>少しずつ話をするようになって……。"""
msc_022190_0080#0,"""でも、あのときの私は殻に閉じこもって、<br>彼女のことばをちゃんと聞いていなかった……。"""
msc_022190_0090#0,"""……今は、<br>少しわかりあえた気がする……。"""
msc_022190_0100#0,"""みんなに、気持ちを伝えたおかげだね。"""
msc_022190_0110#0,"""マノンが目覚めたときのことは？"""
msc_022190_0120#0,"""あ……。"""
msc_022190_0130#0,"""う……。"""
msc_022190_0140#0,"""……思い出すと、<br>今でも顔が熱くなるわ……。"""
msc_022190_0150#0,"""あの子にも、あんな感情表現をするんだねと、<br>からかわれてしまって……。"""
msc_022190_0160#0,"""でも、ああいうマノンもいい。"""
msc_022190_0170#0,"""その子の言うこともわかる。"""
msc_022190_0180#0,"""え、そ、そうかしら……？"""
msc_022190_0190#0,"""あなたまで、そんなことを……。"""
msc_022190_0200#0,"""もとはと言えば、<br>あなたのせいなのよ？"""
msc_022190_0210#0,"""突然、モニターの前に<br>私を出したりして……。"""
msc_022190_0220#0,"""……でも、そうね。"""
msc_022190_0230#0,"""自分でも、<br>あんなことを言いだすなんて思わなかった。"""
msc_022190_0240#0,"""きっと、ここでの生活が、<br>私を変えたのね……。"""
msc_022190_0250#0,"""………。"""
msc_022190_0260#0,"""あの……<%me>。"""
msc_022190_0270#0,"""……ひとつお願いがあるのだけれど。"""
msc_022190_0280#0,"""なに？"""
msc_022190_0290#0,"""どうしたの？"""
msc_022190_0300#0,"""ええと……その……。"""
msc_022190_0310#0,"""私はずっと、リサージェントアークスという<br>異質な環境のなかで生きてきた。"""
msc_022190_0320#0,"""……だから、また間違った行動を<br>してしまうかもしれない。"""
msc_022190_0330#0,"""その時は、<br>もう一度私のことを正してほしいの。"""
msc_022190_0340#0,"""あなたたちに……。"""
msc_022190_0350#0,"""ううん、あなたにお願いしたい。"""
msc_022190_0360#0,"""どう、かしら……？"""
msc_022190_0370#0,"""もちろん。"""
msc_022190_0380#0,"""いっしょに歩んでいこう。"""
msc_022190_0390#0,"""………。"""
msc_022190_0400#0,"""……ありがとう。"""
