text01#0,"""情けないな……"""
text02#0,"""気持ちは分かるよ"""
text03#0,"""戦って忘れよう"""
text04#0,"""さあ？"""
text05#0,"""忙しいからこのへんで"""
text06#0,"""真似する必要はない"""
text99#0,"""戻る"""
text00#0,"""……てか、いざショックだったのを<br>認めてみりゃ、案外落ち着くもんだな。<br>相棒に言われて気づいたぜ。"""
11_voice_NPC_5210_105#0,"""だからって、受け入れるのもな……<br>やっぱ、あいつのことは苦手だぜ。<br>真似するなんて、無理だし……"""
11_voice_NPC_5210_104#0,"""でも、あいつを見習わないと<br>おれは自分の弱さから逃げてることに<br>なる、のかな……？"""
11_voice_NPC_5210_108#0,"""……そりゃ、すっげーことを<br>全部さらっとできちまう相棒には<br>おれの気持ちなんか分からないよな！"""
text01#1,"""相棒にまで、この言われよう……<br>もう、いっそのことアークスをやめて<br>ユク姉に迷惑のかからないところに……"""
11_voice_NPC_5210_105#1,"""……もう、立ち直れそうにないよ。<br>おれのどこが悪かったんだろう……<br>全部かなあ？"""
text00#1,"""……同じ状況になったら<br>相棒でも、ショックを受けるって？<br>自分を否定されるのはつらい、か。"""
11_voice_NPC_5210_100#0,"""相棒にそう言われると<br>少し気がラクになってきたな……<br>さっきは取り乱して、ごめんな。"""
text01#2,"""だよなー！<br>アサルトライフルは裏切らないもんな！<br>って、そんな気分じゃないつーの！"""
11_voice_NPC_5210_103#0,"""相棒にまで、この言われよう……<br>もう、いっそのことアークスをやめて<br>ユク姉に迷惑のかからないところに……"""
11_voice_NPC_5210_105#2,"""……もう、立ち直れそうにないよ。<br>おれのどこが悪かったんだろう……<br>全部かなあ？"""
11_voice_NPC_5210_103#1,"""おいおい、頼むよ相棒！<br>ここは、おれの悩みを聞く流れだろ？<br>急に突き放すのはナシで頼むぜ！"""
text02#1,"""まあ、ユク姉にがっかりされたくないし<br>素直に真似ればいいのかも知れないけど<br>それって、本当のおれなのかなって……"""
11_voice_NPC_5210_105#3,"""でも、あいつを見習わないと<br>おれは自分の弱さから逃げてることに<br>なる、のかな……？"""
11_voice_NPC_5210_106#0,"""えっ、そんな！<br>面倒な人に話しかけちゃったなー<br>みたいな対応、やめてくれよ！"""
text01#3,"""まあ、ユク姉にがっかりされたくないし<br>素直に真似ればいいのかも知れないけど<br>それって、本当のおれなのかなって……"""
11_voice_NPC_5210_105#4,"""でも、あいつを見習わないと<br>おれは自分の弱さから逃げてることに<br>なる、のかな……？"""
text00#2,"""真似する必要はない……？<br>おれの手本となるべき存在が<br>目の前に実在しても、か？"""
text01#4,"""……それはアウロラが思う理想で<br>唯一の正解だとは限らない……か。<br>たしかに、そうだな……"""
11_voice_NPC_5210_100#1,"""おれがユク姉のことを大事に思って<br>頑張っているのなら、それが正解……？<br>相棒ぉ、お前いいこと言うよなー！"""
text03#1,"""悩んでること、話せてよかった。<br>なんつーか、目からウロコだったぜ！<br>さすが相棒だよ、ありがとな！"""
11_voice_NPC_5210_104#1,"""……相棒。<br>悪いけど、ほっといてくれないか。<br>今、最悪な気分なんだ。"""
text01#5,"""もういいよ、どうせおれなんて……<br>ダメすぎてユク姉のお荷物らしいし！<br>幻創体の方が、人気みたいだし！"""
11_voice_NPC_5210_105#5,"""……もう、立ち直れそうにないよ。<br>おれのどこが悪かったんだろう……<br>全部かなあ？"""
