un_062020_0010#0,"""おれの中に眠る、闇の力よ……<br>いにしえの盟約により、今こそ……"""
un_062020_0020#0,"""ハッ、来たな！<br>……って、センパイか。"""
un_062020_0030#0,"""何してるの、って顔しないでよ。<br>つい最近、認可されたんだよね？<br>新クラスの「ファントム」。"""
un_062020_0040#0,"""となると、なぜかまたおれの所に<br>提唱者がきて、無理やり宣伝させるに<br>決まってるだろ？"""
un_062020_0050#0,"""……断ればいいって？<br>みんな一生懸命にやってるから<br>むげに断るのも悪くてさ……"""
un_062020_0060#0,"""だから、いつ頼まれてもいいように<br>こうやって練習してるんだ。"""
un_062020_0070#0,"""ストラトスの時も手伝ったしな……<br>さあ、このおれの召喚にこたえよ！<br>ファントムの提唱者よ……！"""
un_062020_0080#0,"""この俺を……<br>《亡霊》を呼ぶのは……お前か？"""
un_062020_0090#0,"""うわあっ！？<br>ホントに召喚できた……！？"""
un_062020_0100#0,"""またお前か、<%me>。<br>この《亡霊》を先回りするお前も……<br>「死に魅入られし者」という訳か。"""
un_062020_0110#0,"""……という訳じゃないと<br>思うけどな、センパイは。<br>それよりも……"""
un_062020_0120#0,"""さあ、ファントムは<br>どんな宣伝をすればいいんだ？<br>なんでも言ってくれ！"""
un_062020_0130#0,"""そ、それっぽいセリフなら<br>練習……したけど……"""
un_062020_0140#0,"""……何を言っている。<br>誰がお前に、宣伝など頼んだ？"""
un_062020_0150#0,"""え？\u3000だ、だって……"""
un_062020_0160#0,"""名を呼ぶ声を聞き、召喚に応じたが……<br>くだらん戯れ言だったか。"""
un_062020_0170#0,"""ちょ、ちょっと待って！<br>新クラスの宣伝、しないのか？<br>普及させたいんだろ？"""
un_062020_0180#0,"""……そんなに宣伝したいのなら<br>勝手にするがいい。"""
un_062020_0190#0,"""い、いやいや、したくないけど！<br>でもカトリさんだってストラトスだって<br>必死に新クラスの普及を……"""
un_062020_0200#0,"""不要だ。<br>ファントムは《亡霊》……<br>暗闇に生きる者。"""
un_062020_0210#0,"""陽の当たる場所で<br>“光”しか見ない奴らには<br>分からんだろうがな……"""
un_062020_0220#0,"""……ひとつ、忠告してやろう。<br>《亡霊》には、あまり関わらんことだ。"""
un_062020_0230#0,"""“影”を覗きこむ者は<br>いずれ“影”に飲まれる……"""
un_062020_0240#0,"""それから……<br>先程のお前の“詠唱”だが……<br>なかなか様になっていた。"""
un_062020_0250#0,"""修練を積めば<br>いずれ形になるだろう……<br>さらばだ。"""
un_062020_0260#0,"""……なんていうか、センパイ。<br>相変わらず、ちょっと変わった人と<br>付き合いがあるんだな……"""
un_062020_0270#0,"""……って、宣伝しないんだったら<br>おれ、人の多いショップエリアで<br>ただ詠唱してただけの人じゃん！"""
un_062020_0280#0,"""うわああっ……！<br>は、恥ずかしいっ……"""
