un_025160_0010#0,"""อา <%me><br>มาได้จังหวะพอดีเลย"""
un_025160_0020#0,"""Xiao คุง แค่พวกเราน่ะ<br>ถึงจะกลุ้มใจไปก็ช่วยอะไรไม่ได้หรอก<br>ลองฟังความเห็นของคนอื่นดูดีกว่ามั้ย?"""
un_025160_0030#0,"""......นั่นสินะ<br>คือผมอยากจะถามความเห็นเกี่ยวกับระบบ<br>การควบคุมดูแล ARKS หลังจากนี้หน่อยน่ะ"""
un_025160_0040#0,"""ถ้าพูดแบบเปิดเผย ก็คือเรื่องที่ว่าจะเอายังไง<br>กับ Three Victors และ Six Pillars ดีน่ะ<br>ผมกำลังลังเลอยู่ว่าควรจะเหลือไว้หรือว่าทำลายทิ้งไปดี"""
un_025160_0050#0,"""ทำลายสิทธิ์พิเศษเฉพาะคนทิ้งแล้วทำให้<br>ทุกคนเท่าเทียมกัน มันก็ฟังดูดีอยู่หรอก <br>ทว่าในอนาคตมันจะต้องสูญเสียกฎเกณฑ์แน่ๆ"""
un_025160_0060#0,"""ในอีกด้านนึง ผมก็ไม่คิดว่าปล่อยให้<br>เป็นแบบนี้ต่อไปมันจะดีเหมือนกัน......<br>พูดตรงๆ ผมกำลังลังเลกับข้อดีและข้อเสียของมันอยู่"""
un_025160_0070#0,"""1. เหลือเอาไว้ดีกว่า"""
un_025160_0080#0,"""2. ทำลายทิ้งไปดีกว่า"""
un_025160_0090#0,"""อืม จริงๆ แล้วชั้นเอง<br>ก็คิดว่าเหลือเอาไว้จะดีกว่านะ"""
un_025160_0100#0,"""ก็ ตอนนี้น่ะเรื่องต่างๆ พึ่งจะถูกเผยออกมา <br>แล้วก็ทำให้ทุกคนกำลังอยู่ในช่วงสับสนใช่มั้ยล่ะ?"""
un_025160_0110#0,"""ยิ่งถ้าทำลาย Three Victors กับ Six Pillars<br>ที่เป็นเหมือนสัญลักษณ์เข้าไปอีก<br>มีหวังได้ควบคุมไม่อยู่แน่ๆ เลย ใช่รึเปล่า?"""
un_025160_0120#0,"""ถ้าเป็น ARKS ก็อยากจะให้ตัดสินใจ<br>ให้เด็ดขาดอยู่หรอก......<br>แต่ถ้าคิดตามแบบมนุษย์ ก็อาจจะใช่นะ"""
un_025160_0130#0,"""อืมม ทำลายทิ้งเหรอ...... ทำลายทิ้งเหรอ...... <br>ถ้าผู้เกี่ยวข้องโดยตรงพูดแบบนั้น<br>แต่ว่า มันจะไม่เป็นอะไรจริงๆ น่ะเหรอ"""
un_025160_0140#0,"""Uruk ไม่เห็นด้วยงั้นรึ?"""
un_025160_0150#0,"""ก็เปล่าหรอก ชั้นก็ลองคิดข้อดีของ<br>การทำลายทิ้งไปดูแล้วนะ แต่ว่า......<br>เหมือนว่ามันจะยังไม่เหมาะยังไงก็ไม่รู้สิ"""
un_025160_0160#0,"""ถ้าจู่ๆ ก็จะมาทำลายทิ้งตอนนี้เลย<br>ก็อดห่วงไม่ได้ว่าทุกคนจะสับสน<br>กันรึเปล่าน่ะ"""
un_025160_0170#0,"""ก็นะ เรื่องนั้นก็จริง เพราะเรื่องต่างๆ <br>พึ่งถูกจะเปิดเผยออกไปเอง<br>ควรจะหลีกเลี่ยงความสับสนโดยไม่จำเป็นสินะ"""
un_025160_0180#0,"""เดิมที ตัวโครงสร้างที่เรียกว่า ARKS<br>ก็ไม่ได้เน่าอะไรมากมายถึงขนาดนั้น<br>ที่จะเน่าก็มีแค่พวกระดับท็อปเท่านั้นเอง"""
un_025160_0190#0,"""พวก Regius เอง ก็ถูก Luther ข่มขู่<br>ทำให้ต้องทำตามอย่างเสียมิได้ ดังนั้น<br>ผมจึงคิดว่าพวกเค้าจะต้องตั้งตัวใหม่กันได้แน่"""
un_025160_0200#0,"""แต่แน่นอนว่า ไม่ว่ารูปร่างจะเป็นแบบไหน<br>ยังไงก็ต้องสร้างระบบคำสั่งของทั่วทั้งองค์กรขึ้นมาใหม่"""
un_025160_0210#0,"""ก่อนอื่นเลย ก็คือให้ผมเป็นท็อป<br>แล้วก็ดำเนินการเรื่องต่างๆ ทั้งหมด......<br>แต่ผมไม่ค่อยอยากจจะทำเลยนี่สิ"""
un_025160_0220#0,"""จริงๆ แล้วถ้าให้ <%me> เป็นคนทำให้ล่ะก็ <br>อะไรๆ ก็คงจะสบายขึ้นอีกเยอะเลย?"""
un_025160_0230#0,"""แต่ก็นะ การที่ทำให้คุณไม่สามารถ<br>ออกไปปฏิบัติภารกิจได้ มันจะสร้าง<br>ปัญหาให้มากกว่า ดังนั้นก็คงจะไม่ได้"""
un_025160_0240#0,"""อ๊า ไม่มีบุคลากรที่เป็นฝ่ายธุรการไม่ได้ต่อสู้<br>เข้าใจเรื่องราวของทางนี้ดี และพอที่จะให้<br>ความเห็นกับผมได้ อยู่บ้างเลยรึไงน้า"""
un_025160_0250#0,"""Xiao คุง หวังสูงเกินไปแล้วนะ<br>มาหวังคนที่สมบูรณ์แบบขนาดนั้น<br>ตั้งแต่แรก ฟุ้งเฟ้อเกินไปแล้วล่ะ"""
un_025160_0260#0,"""ไม่ว่าจะล้มเหลวกี่ครั้งต่อกี่ครั้ง<br>แต่ก็จะลุกขึ้นยืนและมุ่งหน้าต่อไป<br>พวกเราน่ะ เป็นแบบนั้นกันใช่มั้ย?"""
un_025160_0270#0,"""ปะ เป็นอะไรไปน่ะ ทั้งสองคน<br>ชั้น พูดอะไรผิดไปเหรอ?"""
un_025160_0280#0,"""......มีอยู่นี่นา<br>คนที่เหมาะสมพอดี"""
un_025160_0290#0,"""แหม ใช้อ้างอิงได้ดีทีเดียว<br><%me><br>แล้วไว้มาช่วยให้คำปรึกษากับผมอีกนะ"""
un_025160_0300#0,"""เอ๊ะ อ้าว เดี๋ยวสิ Xiao คุง?<br>ทำไมทำหน้าสดชื่นเหมือนกับว่า<br>ทุกอย่างคลี่คลายแล้วล่ะ?"""
un_025160_0010#1,"""ああ、<%me><br>ちょうどいいところに。"""
un_025160_0020#1,"""シャオくん。わたしたちだけで<br>悩んでても仕方がないよ。<br>他の人の意見も聞いてみない？"""
un_025160_0030#1,"""……そうだね。<br>今後のアークスの管理体制について<br>ちょっと意見を聞かせて欲しいんだ。"""
un_025160_0040#1,"""ぶっちゃけると、三英雄とか<br>六芒均衡をどうするか、ってこと。<br>残すべきか、潰すべきかで迷ってる。"""
un_025160_0050#1,"""特別枠を潰してみんな横並び、って<br>聞こえは良いんだけど、ゆくゆくは<br>統制を失うんだよね。"""
un_025160_0060#1,"""かといって、このままがいいと<br>思っているわけでもなくて……<br>正直、一長一短だから迷ってる。"""
un_025160_0070#1,"""１．残した方がいい"""
un_025160_0080#1,"""２．潰した方がいい"""
un_025160_0090#1,"""うーん、実はわたしも<br>残した方がいいって思ってる。"""
un_025160_0100#1,"""だってさ、ただでさえ<br>いろんなことが判明したばっかりで<br>混乱中なわけでしょ？"""
un_025160_0110#1,"""さらにその上、象徴でもあった<br>三英雄や六芒均衡も潰しますって<br>なると、抑えがきかなくならない？"""
un_025160_0120#1,"""アークスなら、割り切って<br>動いてほしいけれど……<br>人間的に考えれば、そうかもね。"""
un_025160_0130#1,"""うーん、潰すかぁ……<br>潰す、かぁ……当事者が言うなら<br>大丈夫なのかなあ。"""
un_025160_0140#1,"""ウルクは反対？"""
un_025160_0150#1,"""いや、潰した場合のメリットを<br>考えてみてるんだけど……<br>いまいちしっくりこなくてさ。"""
un_025160_0160#1,"""今、いきなり潰しちゃうと<br>みんなが混乱しちゃうかもなー<br>っていうところが、心配かな。"""
un_025160_0170#1,"""まあ、確かに、ただでさえ色々と<br>秘密を公表していってるからね。<br>余計な混乱は避けるべき、か。"""
un_025160_0180#1,"""そもそも、アークスという組織自体は<br>そこまで腐ってはいないんだよね。<br>トップが腐っていただけで。"""
un_025160_0190#1,"""レギアスたちも、ルーサーに<br>脅されて従ってたようなものだし<br>立て直すことは、出来ると思う。"""
un_025160_0200#1,"""もちろん、どういう形になるとしても<br>組織全体の命令系統は作り直すよ。"""
un_025160_0210#1,"""とりあえずは、ぼくをトップにして<br>全部進めていくつもりだけど……<br>あんまりやりたくないんだよなぁ。"""
un_025160_0220#1,"""本当は<%me><br>なんかがやってくれると<br>とっても楽なんだけどね？"""
un_025160_0230#1,"""まあ、君が現場に<br>出られなくなっちゃうほうが<br>問題だから、ダメなんだよねぇ。"""
