name01#0,"""Afin"""
11_voice_NPC_5003_104#0,"""ว่าไงคู่หู ขอเวลาแป๊ปนึงได้ไหม?<br>มีเรื่องจะข้อร้องหน่อยนะ......"""
text02#0,"""ถ้ามีเวลาก็มาหาข้าหน่อยได้ไหม<br>ถ้างั้นก็ไว้เจอกันนะ?"""
text03#0,"""Client Order"""
text04#0,"""ขณะที่เล่นเกมไป บางครั้งท่านจะได้รับคำร้องขอจากตัวละครอื่นที่เรียกว่า Client Order<br>Client Order มีหลายแบบมาก <br>เช่นต้องทำเควสให้เสร็จสิ้นหรือเก็บไอเทมบางอย่างมา"""
text05#0,"""เมื่อท่านต้องกำจัดศัตรูเพื่อหาไอเทมบางอย่าง<br>ไอเทมนั้นจะปรากฏต่อเมื่อท่านรับ Client Order ที่เกี่ยวข้องเท่านั้น<br><br>เมื่อท่านบรรลุจุดประสงค์แล้ว <br>ท่านต้องกลับไปรายงานกับตัวละครที่ออก Client Order เพื่อรับรางวัล<br><br>คุยกับตัวละครหลายตัวขณะที่ท่านเล่นเกมจะมีโอกาสได้รับ Client Order ใหม่ๆ"""
text06#0,"""Afin อยู่ทางตะวันตกของ Quest Counter ที่บริเวณประตู<br>ไปคุยกับเขาเพื่อดุว่าเขาต้องการอะไร"""
name01#1,"""アフィン"""
11_voice_NPC_5003_104#1,"""よう相棒、ちょっといいか？<br>頼みたいことがあるんだけどよ……"""
text02#1,"""とりあえず、時間あるときでいいから<br>おれのところまで来てくれよ。<br>んじゃ、頼んだぜ。"""
text03#1,"""『クライアントオーダー』について"""
text04#1,"""ゲームを進めていくと、キャラクターから<br>依頼を受けることがあります。<br>これらを「クライアントオーダー」と言います。<br><br>クライアントオーダーの内容は様々で<br>クエストをクリアするように指示されたり<br>アイテムを集めることを頼まれたりします。"""
text05#1,"""エネミーを倒してアイテムを集める場合、<br>そのクライアントオーダーを受けていないとアイテムは<br>ドロップしません。<br><br>目標を達成したら、キャラクターに報告しましょう。<br>お礼がもらえます。<br><br>ある程度ゲームを進めたらキャラクターに話しかけてみましょう。<br>新しいクライアントオーダーが発生しているかもしれません。"""
text06#1,"""アフィンはゲートエリア・西クエストカウンター側にいます。<br>訪ねてみましょう。"""
