GREET_RANGE#0,"""...What?"""
GREET_SHOP_OPEN#0,"""...You need a cake?"""
GREET_SHOP_DISABLE#0,"""...Unless you're my patron, no thank you."""
GREET_SHOP_CLOSE#0,"""...Bye then."""
GREET_RANGE#1,"""……なによ。"""
GREET_SHOP_OPEN#1,"""……ケーキいる？"""
GREET_SHOP_DISABLE#1,"""……恩人以外はノーサンキュー。"""
GREET_SHOP_CLOSE#1,"""……じゃぁ、また。"""
00_01#0,"""Option 1"""
00_02#0,"""Option 2"""
TALK_ST#0,"""Talk"""
C_ORDER_ST#0,"""Hear them out"""
00_01#1,"""選択肢その１"""
00_02#1,"""選択肢その２"""
TALK_ST#1,"""会話する"""
C_ORDER_ST#1,"""相談を聞く"""
