text01#0,"""来てくれたか<br><%me>！<br>あらためて自己紹介しておくよ。"""
text02#0,"""俺はキリト。<br>まだここには慣れてないから<br>色々世話になると思う。よろしくな！"""
text01#1,"""俺の服、気になるのか？<br>まぁ、このあたりじゃ<br>あまり見かけない服かもな。"""
text02#1,"""明るい色は性に合わなくて……<br>ついつい似たような装備を<br>選んじゃうんだ。"""
11_voice_NPC_5664_100#0,"""昔は、この服のおかげで<br>《黒の剣士》なんて<br>呼ばれてたりもしたな。"""
text04#0,"""ここでも、良さそうな<br>装備が見つかれば<br>そっちを試してみてもいいかもな。"""
text01#2,"""さっき二人が、他のアークスに<br>囲まれているのを見たよ。<br>守護輝士は大人気なんだな。"""
11_voice_NPC_5664_106#0,"""何度かこの世界を救った……？"""
text03#0,"""なるほど、この世界にとって<br>二人は英雄なんだな。その話<br>いつかゆっくり聞かせてくれよ。"""
text01#3,"""なんとなく察してくれてる<br>みたいだけど、改めて話しておく。"""
text02#2,"""俺とアスナは、こことは<br>ちょっと違った世界から<br>やってきたんだ。"""
text03#1,"""ああ、別に元の世界に戻れなく<br>なってるってわけじゃないから<br>そこは安心してくれ。"""
text04#1,"""ここにいる間は、俺たちも<br>アークスとして活動したいと思う。"""
text05#0,"""先輩として、いろいろ<br>教えてくれると助かるよ。<br>よろしくな。"""
text01#4,"""『オラクル』か……<br>偶然知ってやってきたけど<br>何か運命的なものを感じるよ。"""
text02#3,"""数々のアークスたちが<br>それぞれ何かに必死になって<br>懸命に今を生きている。"""
text03#2,"""それは、どこの世界だって<br>どんな世界だって<br>変わらないって、改めて知ったよ。"""
text04#2,"""もうすぐ元の世界に戻らなきゃだけど<br>この世界や<%me>たち<br>のことは、きっと忘れない。"""
text05#1,"""……さて、まだまだ行きたいところや<br>やりたいことがある。<br>付き合ってくれるよな？\u3000守護輝士！"""
