st_012010_0005#0,"""【為了做個了斷】<br>暫用文字"""
st_012010_0010#0,"""你來了啊。<br><%me>。"""
st_012010_0020#0,"""我在這裡<br>難道真的這麼奇怪嗎？"""
st_012010_0030#0,"""......開玩笑的。<br>我會在這裡，<br>表示只有一個自明的答案。"""
st_012010_0040#0,"""達卡大量出現之處<br>哈德烈就會出現。"""
st_012010_0050#0,"""那麼，這裡一定也會......"""
st_012010_0060#0,"""我們走吧，<br><%me>。<br>就在這裡了斷這一切。"""
st_012010_0070#0,"""A.P.238/4/15/10:00:00"""
st_012010_0005#1,"""【始末をつけるために】<br>仮テキスト"""
st_012010_0010#1,"""来ましたね。<br><%me>さん。"""
st_012010_0020#1,"""わたしがこの場にいるのは<br>そんなに不思議なことですか？"""
st_012010_0030#1,"""……冗談ですよ。<br>わたしがここにいるということは<br>自ずと答えは一つでしょう。"""
st_012010_0040#1,"""ダーカーが大量に現れる場所に<br>ハドレッドは現れる。"""
st_012010_0050#1,"""ならばきっと、ここにも……"""
st_012010_0060#1,"""行きましょう<br><%me>さん。<br>ここで、始末をつけてみせます。"""
st_012010_0070#1,"""A.P.238/4/15/10:00"""
