text01#0,"""至今為止，請前輩讓我<br>看了許多次的示範，我懂了。"""
text02#0,"""不管面對怎麼樣的對手，<br>不要驚慌，運用知識和經驗，<br>冷靜地處理。"""
11_voice_NPC_5091_100#0,"""和馬上驚慌的我大相逕庭，<br>……果然，真的很厲害呢，恩。"""
text04#0,"""……所以啊，前輩，<br>方便的話是否可以帶我<br>一起參加你的任務。"""
text05#0,"""這是我的夥伴卡，<br>請多指教啦，前輩。"""
text06#0,"""謝謝你，前輩。<br>下次再多指教。"""
text01#1,"""いままで、何度もセンパイの動きを<br>見せてもらってきて、わかった。"""
text02#1,"""どんな相手が立ちはだかっても<br>慌てず、知識と経験を活かして<br>冷静に対処する。"""
11_voice_NPC_5091_100#1,"""すぐに慌てちゃうおれとは大違い。<br>……やっぱ、すごいんだな、うん。"""
text04#1,"""……だからさ、センパイ。<br>よければセンパイの任務に<br>おれも、連れて行ってくれないかな。"""
text05#1,"""これ、おれのパートナーカードだから<br>よろしくな、センパイ。"""
text06#1,"""ありがとな、センパイ。<br>また、よろしく。"""
