un_025080_0010#0,"""อ้าว <%me><br>มาอยู่ที่นี่มันจะดีเหรอ?"""
un_025080_0020#0,"""ก็ระยะนี้ เธอกำลังทำอะไรกัน<br>สองคนอยู่กับ Xiao ใช่มั้ยล่ะ?<br>แถมยังเป็นความลับกับชั้นด้วย"""
un_025080_0030#0,"""แต่ก็นะ สำหรับชั้นแล้วมันก็ทำให้ชั้น<br>เพลิดเพลินกับช่วงเวลาอิสระจนเต็มอิ่ม<br>เพราะงั้นมันก็ช่วยชั้นได้มากเลยล่ะ"""
un_025080_0040#0,"""ตามข่าวลือแล้วดูเหมือนว่า Xiao จะ...... เอ๊ะ<br>ห๊า!? เธอบ้ารึเปล่าเนี่ย!<br>คะ ใครจะไปอิจฉากันล่ะยะ......!"""
un_025080_0050#0,"""มะ ไม่มีอะไร!<br>ไม่มีอะไรเลยจริงๆ นะ!"""
un_025080_0060#0,"""แหกปากตะโกนซะขนาดนั้น<br>การที่จะบอกว่ามันไม่มีอะไรนี่มัน<br>ดูจะขาดความน่าเชื่อถือไปหน่อยนะ"""
un_025080_0070#0,"""เอาล่ะ เท่านี้ <%me> เอง<br>ก็น่าจะเห็นรูปลักษณ์<br>ของผมแล้วแน่ๆ เหมือนกัน"""
un_025080_0080#0,"""ถ้าอย่างนั้น Sarah เชิญพูดแก้ตัวเลยเป็นไง?"""
un_025080_0090#0,"""......ปกตินายก็มากับเรื่อง<br>น่ารำคาญแบบนี้อยู่แล้วนี่นา?<br>น่าจะเข้าใจความรู้สึกของชั้นนะ?"""
un_025080_0100#0,"""เรื่องน่ารำคาญนี่ช่างเป็นคำที่โหดร้ายจังเลยนะ<br>ผมกับเธอน่ะ ร่างกับวิญญาณเป็นหนึ่งเดียวกันไม่ใช่เหรอ"""
un_025080_0110#0,"""หนวกหูย่ะ ชั้นพยายามทำให้มันกลายเป็น<br>สองร่างกับสองวิญญาณอยู่เนี่ย"""
un_025080_0120#0,"""1. ร่างกับวิญญาณเป็นหนึ่งเดียวกัน?"""
un_025080_0130#0,"""2. สนิทกันดีจังเลยนะ"""
un_025080_0140#0,"""อา เอ่อคือ......<br>เอาเถอะ ถ้าเป็นเธอก็คงไม่เป็นไรมั้ง"""
un_025080_0150#0,"""ไม่มีทางเป็นแบบนั้นแน่<br>ชั้นน่ะเหมือนถูกดึงเข้าไปพัวพันกับเรื่องแย่ๆ เลยนะ"""
un_025080_0160#0,"""......ชั้นน่ะนะ ตอนสมัยยังเด็ก<br>เคยมีเรื่องที่ทำให้ชั้นเกือบจะต้องตาย<br>และในตอนนั้น ก็เกิดอะไรขึ้นนิดหน่อย"""
un_025080_0170#0,"""เกือบจะต้องตาย ช่างเป็นวิธีพูดที่ไม่เด็ดขาดเลยน้า<br>เธอในตอนนั้นน่ะโทรมซะประมาณที่ว่าตอนนี้ยังมีชีวิต<br>อยู่ได้ยังไงก็ไม่รู้ด้วยซ้ำเลยไม่ใช่เหรอไง"""
un_025080_0180#0,"""ทั้งๆ ที่เพื่อช่วยเธอผมถึงได้กลาย<br>เป็นส่วนหนึ่งของเธอไปแท้ๆ ......!"""
un_025080_0190#0,"""อ๊าาา เสแสร้งชัดๆ !<br>ชั้นยังไม่ลืมหรอกนะว่าตอนนั้นายพูดว่า<br>[กำลังอยากได้คนทำงานเบ็ดเตล็ดอยู่พอดี] น่ะ!"""
un_025080_0200#0,"""ก็นะ มันก็มีเรื่องแบบนั้นอยู่ด้วยนี่เนอะ<br>สรุปแล้วหากคุณจะคิดว่าในร่างกายของ<br>Sarah นั้นมีผมอยู่ก็ไม่ผิดแต่อย่างใด"""
un_025080_0210#0,"""เพราะฉะนั้น บางครั้งบางคราวถ้าเห็นเธอพูด<br>อยู่คนเดียว ก็ช่วยเฝ้าดูเธออย่างอบอุ่นด้วยนะ"""
un_025080_0220#0,"""......ปัดโธ่เอ๊ย!"""
un_025080_0230#0,"""ก็อย่างที่เห็น คือเหมือนกับเปิด<br>สัญญาณสื่อสารทิ้งไว้ตลอดเวลานั่นแหละ<br>มีแต่เรื่องวุ่นวายทั้งนั้นเลยจริงๆ"""
un_025080_0240#0,"""......แต่ก็นะ เรื่องที่เค้าช่วยชั้นไว้<br>ชั้นก็ขอบคุณอยู่หรอก"""
un_025080_0250#0,"""อ๊ะ เสร็จกัน! เมื่อกี้ต้องถูกได้ยินไปแล้วแน่ๆ !<br>อ๊า โธ่เอ๊ย Xiao นี่น่ารำคาญจริงๆ เลย!"""
un_025080_0010#1,"""あら、<%me><br>こんなところにいていいの？"""
un_025080_0020#1,"""最近、シャオと二人で<br>何かしてるんでしょ？<br>あたしにも内緒でさ。"""
un_025080_0030#1,"""ま、あたしとしても<br>自由時間を満喫できて<br>とっても助かってるんだけどね。"""
un_025080_0040#1,"""ウワサをすればシャオから……って<br>はあ！？\u3000ばっかじゃないの！<br>だ、誰が嫉妬なんか……！"""
un_025080_0050#1,"""な、なんでもない！<br>なんでもないからね！"""
un_025080_0060#1,"""そこまで叫んでおいて<br>なんでもないは<br>説得力に欠けるんじゃないかなあ？"""
un_025080_0070#1,"""よし、これで<br><%me>にも<br>ぼくの姿が見えてるはずだ。"""
un_025080_0080#1,"""それじゃあサラ、言い訳どうぞ？"""
un_025080_0090#1,"""……こんなうざったいのが<br>いっつもついて回ってくるのよ？<br>あたしの気持ちもわかるでしょ？"""
un_025080_0100#1,"""うざったいとはひどい言葉だなあ。<br>ぼくと君は一心同体じゃないか。"""
un_025080_0110#1,"""うっさい。二心同体がせいぜいよ。"""
un_025080_0120#1,"""１．一心同体？"""
un_025080_0130#1,"""２．仲良いんだね"""
un_025080_0140#1,"""あー、ええと……<br>まあ、あなたになら、いいか。"""
un_025080_0150#1,"""とんでもない。<br>貧乏くじ引かされた気分よ。"""
un_025080_0160#1,"""……あたし、子供の頃に一度<br>死にかけたことがあって<br>そのときに、ちょっとね。"""
un_025080_0170#1,"""死にかけ、なんて生温い言い方だね。<br>なんで生きていたのかわからないぐらい<br>からっぽで、ボロボロだったじゃんか。"""
un_025080_0180#1,"""助けるために、ぼくの一部は<br>君の糧になったというのに……！"""
un_025080_0190#1,"""ええい、わざとらしい！<br>「ちょうど雑用係が欲しかった」って<br>言ったの、あたしは忘れてないわよ！"""
un_025080_0200#1,"""まあ、そんなこんなあってね。<br>サラの身体の中にぼくがいる、って<br>思ってくれれば間違いじゃないよ。"""
un_025080_0210#1,"""だから、時々この子が独り言してても<br>生暖かい目で見守ってあげてね。"""
un_025080_0220#1,"""……まったく！"""
un_025080_0230#1,"""見ての通りよ。<br>通信回線が開きっぱなしって感じ。<br>ほんっと、面倒なだけ。"""
un_025080_0240#1,"""……まあ、助けてもらったことには<br>感謝してるけど。"""
un_025080_0250#1,"""って、しまった！\u3000今の聞かれた！<br>ああもうシャオうるさい！"""
