name01#0,"""ゼノ"""
name02#0,"""アフィン"""
name03#0,"""エコー"""
skit01#0,"""/ci1 2 な、なんだよあれ！<br>あんなでかいヤツ、倒せるわけ……"""
cu_090020_0090#0,"""ゼノ！<br>帰還用のテレパイプを準備するから<br>先にその大型ダーカーをやっつけて！"""
skit03#0,"""/ci1 2 了解だエコー。<br>フォトンブラストで一気に片をつける。<br>ルーキーども、少し時間を稼いでくれ！"""
skit04#0,"""/ci1 2 無理に倒そうと思うなよ。<br>生き残ることを第一に考えろ。"""
skit01#1,"""な、なんだよあれ！<br>あんなでかいヤツ、倒せるわけ……"""
cu_090020_0090#1,"""ゼノ！<br>帰還用のテレパイプを準備するから<br>先にその大型ダーカーをやっつけて！"""
skit03#1,"""了解だエコー。<br>フォトンブラストで一気に片をつける。<br>ルーキーども、少し時間を稼いでくれ！"""
skit04#1,"""無理に倒そうと思うなよ。<br>生き残ることを第一に考えろ。"""
