Name#0,"""รอผู้ช่วยเหลือ"""
Name#1,"""要救助者"""
Rescue1#0,"""ขอบคุณ!"""
Rescue2#0,"""แหม ร้อนแทบตายแน่ะ <br>ได้ท่านช่วยไว้แท้ๆ ขอบคุณมาก!"""
Rescue3#0,"""ข้าเป็นหนี้ท่าน!<br>ฝากช่วยคนอื่นๆด้วยนะ!"""
Rescue4#0,"""แต๊งกิ้ว!"""
Rescue5#0,"""เฮ้อ<br>นึกว่าจะแย่ซะแล้วนะเนี่ย!"""
Rescue6#0,"""ขอบคุณมาก!"""
Rescue7#0,"""ขอบคุณ!<br>พยายามเข้านะ ARKS!"""
Rescue8#0,"""นะ...นึกว่าตายซะแล้ว..."""
Rescue9#0,"""ขอร้องล่ะ...ช่วยคนอื่นๆด้วย..."""
Rescue10#0,"""ระ...รอดไปที"""
Rescue1#1,"""ありがとう！"""
Rescue2#1,"""いやー、熱かったー<br>助かったよ、ありがとう！"""
Rescue3#1,"""恩に着る！<br>他の連中も助けてやってくれ！"""
Rescue4#1,"""サンキュー！"""
Rescue5#1,"""ふー。<br>どうなることかと思ったぜ！"""
Rescue6#1,"""感謝する！"""
Rescue7#1,"""ありがとう！<br>頑張れアークス！"""
Rescue8#1,"""し、死ぬかと思った……"""
Rescue9#1,"""頼む……他の奴らも……"""
Rescue10#1,"""た……助かったぁ。"""
Rescue#0,"""เซ็ตพิกัด!"""
Rescue#1,"""座標セット！"""
