st_012045_0005#0,"""【悲痛なシュプレヒコール】<br>仮テキスト"""
st_012045_0010#0,"""ハドレッド……"""
st_012045_0020#0,"""（叫び声）！"""
st_012045_0030#0,"""……苦しそうな声。<br>正直、もう聞いていられません。"""
st_012045_0040#0,"""だけど、最後に教えなさい。<br>研究室で、一体どんなことが<br>行われようとしていたのか……"""
st_012045_0050#0,"""始末屋として不適合者のわたしに<br>次はどんな任務が<br>課されようとしていたのか……"""
st_012045_0060#0,"""……ううん、そうじゃないわね。<br>それだけじゃ、あんたは怒らない……"""
st_012045_0070#0,"""だから答えなさい、ハドレッド！"""
st_012045_0080#0,"""あたしは……<br>あたしは、何をされそうだったの！？"""
st_012045_0090#0,"""……！"""
st_012045_0100#0,"""（咆吼）"""
st_012045_0110#0,"""ほんと、あんたはどこまでも<br>秘密主義で、身勝手で……バカな子。"""
st_012045_0120#0,"""A.P.238/4/15/11:20"""
