linewindow#0,"""Incapacitation"""
text00#0,"""Incapacitation"""
text01#0,"""เมื่อตัวละครของท่านมี HP (health) เหลือ 0<br>ท่านจะไร้ความสามารถและไม่สามารถทำหน้าที่ได้"""
text02#0,"""เมื่อท่านสูญเสียความสามารถ ท่านสามารถเลือกวิธีย้อนกลับไปเล่นจากเมนูที่ปรากฎ <br>หรือรอการช่วยเหลือจากพวกพ้องของท่าน<br>ท่านยังสามารถพูดคุยเมื่อสูญเสียความสามารถได้เพื่อติดต่อสื่อสารกับสมาชิกปาร์ตี้"""
text03#0,"""สามารถชุบชีวิตสมาชิกปาร์ตี้ที่ตายได้โดยการใช้ไอเทมชุบชีวิต เช่น revival kit<br>ท่านสามารถชุบชีวิตตัวเองได้เช่นกันหากท่านมีไอเทมชุบชีวิต <br>Self Revival Kit หรือ Half Revival Kit"""
text04#0,"""เมื่อตัวละคร partner นั้นตาย พวกเขาจะฟื้นคืนอัตโนมัติหลังจากครบเวลาที่กำหนด<br>ท่านไม่จำเป็นจะต้องใช้ไอเทมชุบชีวิตให้กับพวกเขา"""
linewindow#1,"""<br>『戦闘不能』について<br>"""
text00#1,"""『戦闘不能』について"""
text01#1,"""戦闘不能について説明します。<br><br>キャラクターのＨＰ（体力）が０になると、<br>戦闘不能となり、行動ができなくなってしまいます。"""
text02#1,"""戦闘不能になった場合は、<br>表示されているメニューから再開方法を選択したり、<br>特別な場合を除き、仲間の助けを待つことができます。<br><br>また、この状態でもチャットをすることは出来ますので、<br>パーティーメンバーと相談することも可能です。"""
text03#1,"""生存しているパーティーメンバーが<br>ムーンアトマイザーといった復活アイテムなどを使用することで<br>戦闘不能となったキャラクターを復活させられます。<br><br>またはスケープドールやハーフドールを<br>所持していれば、その場で復活することができます。"""
text04#1,"""パートナーキャラクターについては、戦闘不能となっても<br>一定時間経過後に自動で復活するため<br>復活アイテムなどを使用する必要は必ずしもありません。"""
