11_voice_NPC_02_101#0,"""最近ショップエリアにいる<br>あのネコちゃん？<br>可愛いよねぇ！"""
Kuro_01_020#0,"""こう、丸くてクリッとしてて<br>真っ白でさ！<br>あたし、ああいうの大好きだよ！"""
Kuro_01_030#0,"""えっ、そっちじゃなくて黒い方？<br>あちゃー……"""
Kuro_01_040#0,"""あ、あっちの子が好きな人も<br>探せばたくさんいるんじゃないかな！<br>うん、人の好みは十人十色だもんね！"""
Kuro_01_050#0,"""ほらっ、そうと決まれば<br>他の人にも聞きに行かなくちゃ！<br>それじゃあね！"""
11_voice_NPC_5002_101#0,"""啊，你來到正好。"""
Echo_favs_before_020#0,"""你能不能收下這個？<br>我剛好拿到這個東西。"""
Echo_favs_before_030#0,"""我想交給你使用<br>應該比放在我身上<br>還要有用。"""
Echo_favs_after_010#0,"""不用跟我道謝。"""
Echo_favs_after_020#0,"""是我應該謝謝你。<br>這算是我對你的報答。"""
Echo_favs_present_010#0,"""得到艾可給予的『治療結界』。"""
Echo_favs_present_020#0,"""得到艾可給予的『シンセサイザー』。"""
Echo_favs_present_030#0,"""得到艾可給予的『淨化結界』。"""
Echo_favs_present_040#0,"""得到艾可給予的『シンセサイザー』。"""
Echo_favs_present_050#0,"""得到艾可給予的『防禦結界』。"""
Echo_favs_present_060#0,"""得到艾可給予的『シンセサイザー』。"""
Echo_favs_present_070#0,"""得到艾可給予的『攻擊結界』。"""
Echo_favs_present_080#0,"""得到艾可給予的『シンセサイザー』。"""
Echo_favs_present_090#0,"""得到艾可給予的『シンセサイザー』。"""
Echo_favs_present_100#0,"""得到艾可給予的『シンセサイザー』。"""
Echo_favs_present_add_001#0,"""得到艾可給予的『<%skit_text>』。"""
11_voice_NPC_5002_100#0,"""不可以因為成為了ARKS<br>就得意忘形喔。<br>重要的是你往後的表現喔。"""
11_voice_NPC_5002_100#1,"""...我雖然很想對誇下海口說：<br>「遇到了什麼困難就來問我吧！」<br>但我並沒那麼厲害。"""
Echo_02_020#0,"""總之，你不是為了這個目的<br>而成為ARKS<br>就好。"""
11_voice_NPC_5002_105#0,"""努力很重要<br>但是休息也是工作的一環啊。<br>你平時有好好休息麼？"""
11_voice_NPC_5002_105#1,"""呼啊...好睏...<br>啊，對不起，我很難入睡<br>所以也很會賴床..."""
11_voice_NPC_5002_101#1,"""我為什麼老是待在傑諾身邊？<br>那當然是因為我的身份<br>類似於傑諾的保鏢。"""
Echo_05_020#0,"""...有時我會被誤認是跟班，不過<br>我不會在意的啦。<br>...我也是有能力戰鬥的喔。"""
11_voice_NPC_5002_105#2,"""傑諾總是到處亂跑<br>所以我必須時時刻刻盯著他。<br>每個男生都像他一樣麼？"""
11_voice_NPC_5002_104#0,"""嗯...我的主要工作是跟在他身邊<br>我也想成為體力很好的獵人啊。<br>...啊，沒事沒事，這是我的私事。"""
11_voice_NPC_5002_102#0,"""做事不可勉強！<br>這是姐姐給你的建議<br>一定要記得喔。"""
11_voice_NPC_5002_108#0,"""...不要過分專注於戰鬥喔。<br>努力戰鬥不是不好，<br>但這樣你就會忽略了周遭的事物喔。"""
11_voice_NPC_5002_104#1,"""以前常常有人跟我說，<br>千萬不可以失去自己所保護的東西。<br>咦？是誰跟我說的啊？"""
11_voice_NPC_5002_100#2,"""大約十年前，大家的殺戮<br>比以前更嚴重，當時情況真的很危急。<br>我沒想到可以復原到這個程度。"""
11_voice_NPC_5002_104#2,"""傑諾老是想做一些很扯的事，<br>而且大多非做到不可，<br>所以我都快被他累死了。"""
Echo_12_020#0,"""唉...希望他能體諒一下<br>隨從的心情啊。"""
11_voice_NPC_5002_104#3,"""相較於傑諾，雖然很多人覺得我比較不認真，<br>但我已經盡力了。<br>我最喜歡的一句話就是「不要勉強」。"""
11_voice_NPC_5002_103#0,"""如果你覺得自己打從心裡想戰鬥<br>那就代表你生病了。<br>還是多休息比較好。"""
Echo_14_020#0,"""因為身體會在不知不覺中<br>慢慢耗損。"""
11_voice_NPC_5002_104#4,"""呼...跟傑諾相處真的很累。<br>他本來不是獵人，<br>但不知道哪來那麼多體力。"""
11_voice_NPC_5002_105#3,"""我和傑諾？　我們是從小認識的朋友。<br>從以前到現在都是。<br>...以後應該也會是吧。"""
11_voice_NPC_5002_108#1,"""與黑暗種的戰鬥結束後，<br>ARKS下一步要做什麼？<br>......我或許擔心得太早了。"""
Echo_17_020#0,"""但是大家似乎<br>沒有事情可做了<br>這真的有點恐怖..."""
11_voice_NPC_5002_104#5,"""每個人加入ARKS的目的都不一樣。<br>但每個人都一定有其目的，<br>所以才會那麼努力。"""
Echo_18_020#0,"""...目的麼。<br>這真是個難題啊。"""
11_voice_NPC_5002_109#0,"""最近受傷的人越來越多了耶。<br>黑暗種的數量好像也增加了，<br>看來情況不太妙。"""
11_voice_NPC_5002_100#3,"""遇到危險就趕快逃走！<br>這是我難得和傑諾都同意<br>的看法喔。嘿嘿嘿。"""
11_voice_NPC_5002_101#2,"""你說我和傑諾太常吵架？<br>是麼？我覺得還好耶。<br>應該還不算吵架吧。"""
Echo_21_020#0,"""啊...沒、沒事。<br>我的意思不是說我們感情很好喔！<br>別誤會喔，知道麼？"""
11_voice_NPC_5002_109#1,"""……はぁ。"""
Echo_mb9_020#0,"""ん、あ、ああっゴメン。<br>何？\u3000何か用かな？"""
Echo_mb9_030#0,"""心配してくれてるの？<br>ありがとう。でも大丈夫だよ。<br>そのうち、慣れると思うから。"""
11_voice_NPC_5002_104#6,"""んー、まずは武器の準備と<br>あと服も変えないとまずいかなぁ。"""
Echo_mb10_020#0,"""ん？\u3000何をしているのかって？<br>いろいろ下準備中だよ。"""
Echo_mb10_030#0,"""ゼノが戻ってくるまで頑張るって<br>決めたからね。気合いを入れて<br>やってかないと、さ！"""
11_voice_NPC_5002_104#7,"""戦技大会かぁ……<br>タイミング悪いなぁ。"""
Echo_mb11_020#0,"""ゼノが居るときにやってくれれば<br>喜び勇んで参加しただろうなあ。"""
Echo_mb11_030#0,"""まったく、間が悪いというか<br>なんというか……"""
11_voice_NPC_5002_104#8,"""うーむむ……<br>やっぱり適性のないクラスは大変。"""
Echo_mb12_020#0,"""ウォパルでじっくり慣らしとか<br>してこようかなぁ。"""
11_voice_NPC_5002_104#9,"""それにしても、まさかウォパルの<br>原住民たちと交流できるなんて<br>思いもしなかったわね。"""
Echo_mb13_020#0,"""でもちょっと、喋り方がヘンというか<br>発音が違って訛ってたのはなんでだろ。<br>ちょっと独特だったよね？"""
Echo_mb13_030#0,"""うーん、聞いて覚えたならそんなことは<br>起きないはずだけど……言葉覚えてから<br>会わなくなって、訛ったの、かなあ？"""
11_voice_NPC_5002_104#10,"""ハンターやるようになってから<br>生傷が絶えなくて困るのよ。<br>いろんな意味で、大変さを実感中。"""
Echo_mb14_020#0,"""いちばん嫌なのは、うーん……<br>お風呂に入るとすっごくしみること<br>かなぁ？"""
11_voice_NPC_5002_104#11,"""ウォパルの海底エリアって<br>行ってみた？"""
Echo_mb15_020#0,"""行く前は暗くてジメッとしてて<br>イヤーなイメージだったけど<br>思ったよりも悪くないところだよ。"""
Echo_mb15_030#0,"""なんにせよ<br>もう少し奥まで進んでみないと。<br>前へ前へ、ってね。"""
11_voice_NPC_5002_104#12,"""<%me>。<br>……なんだか、さ、周りの空気が<br>ぴりぴりしてる感じがしない？"""
Echo_mb16_020#0,"""あたしの気のせいだったら<br>いいんだけど……<br>悪い予感は、よく当たるのよね。"""
11_voice_NPC_5002_102#1,"""どうしてゼノが無事だってことを<br>あたしに黙ってたのよ？<br>……まあ、ゼノの差し金だろうけど。"""
Echo_mb16zeno_020#0,"""そうとも知らず、あたしはきみの前で<br>あんなことやこんなことを……<br>……恥ずかしくて死ぬかも。"""
Echo_mb16zeno_030#0,"""……でも、まあ、ゼノが無事だったし<br>戻ってきてくれたから、いいか。"""
Echo_mb17_010#0,"""みんなを操り人形にしてたアレ。<br>絶対令、だっけ？\u3000あれ、封印されて<br>使用禁止になるみたいだよ。"""
Echo_mb17_020#0,"""六芒の持つ絶対命令権……噂には<br>聞いてたけど、あそこまでの強制力を<br>持つとは思わなかったなあ。"""
Echo_mb17_030#0,"""ん？\u3000じゃあなんであたしには<br>効いてない感じだったのかって？<br>……さあ、なんでだろ？"""
11_voice_NPC_5002_104#13,"""よくわからないけど、あたしは<br>あの時、きみと一緒にいなきゃいけない<br>という気持ちしかなかったんだよね。"""
11_voice_NPC_5002_100#4,"""<%me>。<br>アークスも変わったよね。<br>なんて言うか、雰囲気がね。"""
Echo_mb18_020#0,"""色んな事があったけど<br>いい風に変わっていけばいいよね。"""
Echo_mb19_010#0,"""惑星ウォパルかー……<br>最近は全然行ってないや。"""
Echo_mb19_020#0,"""ウォパルへ行くと、ハンターに<br>なったばかりの頃を思い出すなあ。<br>きみと一緒に調査をしたよね。"""
11_voice_NPC_5002_100#5,"""まさかウォパルの原住民と交流が<br>出来るとは思わなかったけど<br>まあ、いい思い出だよね。"""
11_voice_NPC_5002_104#14,"""クリスマスかー。<br>そうね、高価なものや特別なものは<br>べつにいらないかな。"""
Hari_01_020#0,"""でも、気持ちは欲しいかもね……<br>だってクリスマスは、大切な人や<br>家族と過ごしたいでしょ？"""
11_voice_NPC_5002_100#6,"""だから、戦いのこととか忘れて……<br>ゼノと二人っきりで過ごせたらいいな。"""
11_voice_NPC_5002_102#2,"""って、なによその顔！<br>聞いたのはそっちじゃないの！<br>……ゼノ、誘ってくれるかな。"""
