REPORT_BAD_FAV4#0,"""主人......<br>辜負了你的期待<br>真的抱歉。"""
REPORT_BAD_FAV3#0,"""無法獲得令人滿意的成果。<br>雖然已經竭盡全力了......"""
REPORT_BAD_FAV2#0,"""但成果報告......<br>失敗，只能這麼說...。<br>......對不起。"""
REPORT_BAD_FAV1#0,"""不得不說結果失敗了。"""
REPORT_BAD_FAV0#0,"""失敗。<br>真是非常抱歉。"""
REPORT_BAD_FAV4#1,"""マスター……<br>ご期待に応えることが出来ず<br>本当に申し訳ありません。"""
REPORT_BAD_FAV3#1,"""満足いく成果を得られませんでした。<br>全力は尽くしたのですが……"""
REPORT_BAD_FAV2#1,"""成果報告ですが……<br>失敗、としか言いようがありません。<br>……すみません。"""
REPORT_BAD_FAV1#1,"""失敗、と言わざるを得ない成果です。"""
REPORT_BAD_FAV0#1,"""失敗です。<br>申し訳ありません。"""
REPORT_BAD_FAV4#2,"""真的很抱歉！<br>這絕對不是藉口，<br>很多事都很不如意..."""
REPORT_BAD_FAV3#2,"""已經看到了你的努力...<br>抱歉，說不定會失敗。"""
REPORT_BAD_FAV2#2,"""失敗為成功之母。<br>下次再努力吧！。"""
REPORT_BAD_FAV1#2,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#2,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#3,"""本当にごめん！<br>言い訳はしたくないんだけど、<br>いろいろうまくいかなくってさ……"""
REPORT_BAD_FAV3#3,"""頑張っては見たんだけど……<br>ごめん、失敗しちゃったかも。"""
REPORT_BAD_FAV2#3,"""失敗は成功の母ってね。<br>次は頑張るさ。"""
REPORT_BAD_FAV1#3,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#3,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#4,"""好不容易受到委託<br>竟然變成這樣......實在很抱歉！"""
REPORT_BAD_FAV3#4,"""已經竭心盡力地試著去做了，<br>但是失敗了，就毫無意義......"""
REPORT_BAD_FAV2#4,"""......對不起。<br>結果不如預期。"""
REPORT_BAD_FAV1#4,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#4,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#5,"""せっかく頼ってもらえたのに<br>こんな様なんて……ごめんなさいっ！"""
REPORT_BAD_FAV3#5,"""精一杯、やってはみたんですが<br>失敗じゃ、意味ないですよね……"""
REPORT_BAD_FAV2#5,"""……すみません。<br>うまく、できませんでした。"""
REPORT_BAD_FAV1#5,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#5,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#6,"""......說到這，就是沒用。<br>辜負了期待，自己<br>比誰都惱怒。"""
REPORT_BAD_FAV3#6,"""已經盡全力了......<br>失敗了，不要找藉口。"""
REPORT_BAD_FAV2#6,"""......抱歉。<br>能力不夠。"""
REPORT_BAD_FAV1#6,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#6,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#7,"""……無様、の一言だ。<br>期待に応えられなかった自分自身が<br>何よりも一番、腹立たしい。"""
REPORT_BAD_FAV3#7,"""全力を尽くしはしたが……<br>失敗では、申し訳が立たないな。"""
REPORT_BAD_FAV2#7,"""……すまない。<br>力不足だ。"""
REPORT_BAD_FAV1#7,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#7,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#8,"""有點......不是很順利<br>下一次，下次一定會做好！<br>......抱歉。"""
REPORT_BAD_FAV3#8,"""已經全力以赴了！<br>實在奇怪呢......"""
REPORT_BAD_FAV2#8,"""......有點...是我的能力不足。"""
REPORT_BAD_FAV1#8,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#8,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#9,"""わり……なんか上手くいかなくて<br>次は、次はちゃんとやるからさ！<br>……ごめん。"""
REPORT_BAD_FAV3#9,"""全力でやったんだけどなー！<br>おっかしーなぁー……"""
REPORT_BAD_FAV2#9,"""……わり、おれの力不足。"""
REPORT_BAD_FAV1#9,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#9,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#10,"""......真的很對不起。<br>難得你願意委託我<br>卻辜負了期待......"""
REPORT_BAD_FAV3#10,"""明明很努力的......<br>有點兒使不上力，<br>就是如此了......對不起。"""
REPORT_BAD_FAV2#10,"""......對不起。<br>是我的能力不足。"""
REPORT_BAD_FAV1#10,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#10,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#11,"""……申し訳ありません。<br>せっかく任せていただいたのに<br>期待に応えられず……"""
REPORT_BAD_FAV3#11,"""頑張ったつもりなのですが……<br>少々、気合いが空回りしてしまった<br>ようでして……すみません。"""
REPORT_BAD_FAV2#11,"""……すみません。<br>私の、力不足です。"""
REPORT_BAD_FAV1#11,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#11,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#12,"""很抱歉，失敗了......<br>已經非...常努力了<br>就差那麼一點點......"""
REPORT_BAD_FAV3#12,"""卯足全力挑戰的結果......<br>卻犧牲了！\u3000很抱歉！"""
REPORT_BAD_FAV2#12,"""......抱歉，失敗了。<br>我的能力不足。"""
REPORT_BAD_FAV1#12,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#12,"""REPORT_BAD_FAV0<br>Debug_Error"""
