text01#0,"""お疲れ様。今回の調査で<br>一連のアークス実態調査は<br>一旦完了よ。"""
text02#0,"""おかげさまで、私も大手を振って<br>本国に顔向けできるわ。"""
text03#0,"""あら、何か聞きたそうな顔ね？<br>まぁ、当然かしら。<br>無理に隠すつもりもなかったし。"""
text04#0,"""いいわ、これまでいろいろと<br>手伝ってくれたお礼に<br>一つだけ質問に答えるわ。"""
text05#0,"""それで、貴方は<br>何が聞きたいのかしら？"""
select01#0,"""・何も聞かない"""
select02#0,"""・アリスは、何者？"""
select03#0,"""・調査の依頼主は誰？"""
text06#0,"""あら、そう？<br>まぁ知ったところで<br>貴方に得のある話ではないしね。"""
text07#0,"""じゃぁ、この話はこれでおしまい。"""
11_voice_NPC_5125_100#0,"""また、何かお願いすることが<br>あるかもしれないけれど<br>そのときは、よろしくね。"""
text09#0,"""気付いているかもしれないけれど<br>私は、正規のアークスではないわ。"""
text10#0,"""というか、オラクルの住民ですらない。<br>まだ、オラクルも発見していない<br>惑星からやってきたの。"""
text11#0,"""まぁ、簡単に言ってしまえば<br>潜入工作員といったところかしら。"""
text12#0,"""私以外にも、何人かの仲間が同じ目的で<br>認証コードを偽装し、潜入しているわ。<br>そういうのだけは得意なのよ、私たち。"""
text13#0,"""今は、惑星リリーパと惑星ウォパルで<br>活動しているはずよ。私もこれから<br>ナベリウス中心に活動するつもり。"""
11_voice_NPC_5125_105#0,"""ああ、大丈夫大丈夫。<br>そんなに警戒しなくても、オラクルの<br>管理者には気付かれてるはずだから。"""
text15#0,"""それでも放っておかれてるってことは<br>大勢に影響ないと<br>思われているのよ、きっと。"""
text16#0,"""まぁ実際、その通りなのだけれど。<br>それはそれで、しゃくよね。"""
text17#0,"""この広大な宇宙には、アークスも<br>まだ知らない未知の惑星や文明が<br>それこそ星の数ほど存在する。"""
text18#0,"""そんな惑星の一つにある<br>大きな国の政府機関が私の依頼主よ。"""
text19#0,"""その国の名を……そうね<br>仮に「オラキオ王国」としましょうか。"""
text20#0,"""そのオラキオ王国は、外宇宙の調査中に<br>偶然にも、この巨大宇宙船団オラクルの<br>存在を知ったのよ。"""
text21#0,"""あとは簡単、その未知の船団の目的や<br>テクノロジーを密かに調査するために<br>私たちを雇ったというわけ。"""
text22#0,"""ちなみに、今のオラクル船団の進路は<br>オラキオ王国のある惑星とは<br>全く正反対。"""
11_voice_NPC_5125_104#0,"""王国側から仕掛けない限り<br>接触する可能性はほぼ皆無ね。<br>数百年はないんじゃないかしら。"""
text24#0,"""アークスが、意識的にそちらへ<br>調査網を広げない限りは、ね。"""
text25#0,"""だから、私たちのやっていることは<br>念のための調査、みたいなもの。<br>保険よ、保険。"""
text26#0,"""信じるか信じないかは、貴方次第。<br>まあ、誰に話してもこんな与太話<br>信じてもらえないでしょうね。"""
text27#0,"""話はここまで。<br>また何かあればよろしくね。"""
