un_020580_0010#0,"""อ้าว สวัสดีครับ<br>คุณ <%me><br>เราเจอกันบ่อยดีนะครับ"""
un_020580_0020#0,"""อา ผมไม่ได้มาสังเกตการณ์อะไร<br>คุณหรอกครับ กรุณาอย่าใส่ใจ <br>มันแค่บังเอิญจริงๆ ครับ"""
un_020580_0030#0,"""แต่กลับกัน ผมก็ดีใจนะครับ<br>เพราะว่าคนที่ผมจะสามารถคุยแบบ<br>สบายๆ ได้มันค่อยจะมีนักหรอกครับ"""
un_020580_0040#0,"""Six Pillars กับ ARKS ทั่วๆ ไปน่ะมันไม่ได้<br>แตกต่างกันมากหรอกครับ ดังนั้นผมจึง<br>อยากให้เข้าหาผมแบบสบายๆ มากกว่าครับ"""
un_020580_0050#0,"""แต่ก็นะ ผมเข้าใจว่าพวกเขา<br>คงจะเกรงสิทธิ์...... คำสั่งเด็ด<br>ขาดกัน"""
un_020580_0060#0,"""คำสั่งเด็ดขาด...... ก็คือสิทธิ์คำสั่งที่ <br>Six Pillars หรือเหล่า ARKS ที่มีอำนาจ<br>พึงมึครับ"""
un_020580_0070#0,"""หาคำสั่งที่ว่าถูกประกาศออกมา<br>ก็ไม่สิทธิ์ปฏิเสธ เป็นคำสั่งเชิงบังคับ <br>การจะยกเลิกได้นั้นต้องเป็นคำสั่งเด็ดขาดเท่านั้น"""
un_020580_0080#0,"""ให้ตายสิ เป็นสิทธิ์ที่น่ากลัวจริงๆ เลยนะครับ<br>แน่นอนว่าผมเองก็มีมันอยู่แต่ก็ไม่ค่อยอยากจะ<br>ใช้มันซักเท่าไหร่หรอกครับ"""
un_020580_0090#0,"""การทำงานตามคำสั่ง นั่นก็ไม่<br>ได้ต่างอะไรจากตุ๊กตาหรอกครับ"""
un_020580_0100#0,"""และเรื่องแบบนั้น ก็คงจะไม่<br>มีใครอยากเป็นเช่นนั้นแน่ครับ"""
un_020580_0010#1,"""おや、こんにちは<br><%me>さん。<br>よくお目にかかりますね。"""
un_020580_0020#1,"""ああ、別に監視したりしている<br>わけではありませんので<br>お気になさらず。たまたまですよ。"""
un_020580_0030#1,"""むしろ、私としては嬉しい限りです。<br>私、気軽に話しかけられる人が<br>あまりいませんので。"""
un_020580_0040#1,"""六芒均衡と普通のアークスの違いなんて<br>そう大したものでもありません。<br>もっと気軽に接してほしいものです。"""
un_020580_0050#1,"""まあ、絶対命令権……絶対令をもつ<br>こちらに気をつかうというのも<br>わかりますけどね。"""
un_020580_0060#1,"""絶対令……六芒均衡や<br>それに準ずる権力者の持つ<br>アークスに対する命令権利ですよ。"""
un_020580_0070#1,"""ひとたび発動されれば<br>拒否権のない、強制命令。<br>打ち消しは同じ絶対令でのみ。"""
un_020580_0080#1,"""まったく、おっかない代物ですよ。<br>もちろん私も所持していますが<br>自分では使いたくないですね。"""
un_020580_0090#1,"""命令されるがままに動く。<br>それはただの人形です。"""
un_020580_0100#1,"""そんなものには、誰だって<br>なりたくないはずですから。"""
