11_voice_NPC_5125_100#0,"""午安！<br>你是ARKS的成員吧？"""
11_voice_NPC_5125_104#0,"""傅莉葉的目的<br>所有的任務都完成了！"""
text03002#0,"""太好了，嗯！<br>都是托你的福喔！"""
text02001#0,"""嗯，嗯嗯，合格！"""
11_voice_NPC_5125_100#1,"""啊，抱歉抱歉。<br>我的名字叫希。"""
text02003#0,"""我也是想請你幫忙。<br>不知道你能不能聽我說說呢？"""
text02004#0,"""進步是什麼樣的感覺？<br>我會一直等你的！"""
text02005#0,"""傅莉葉的目的<br>所有的任務都完成了！"""
text02006#0,"""太好了，嗯！<br>都是托你的福喔！"""
11_voice_NPC_5125_100#2,"""哎呀，你正巧來了。"""
favs_before_020#0,"""這是我在調查獲得的東西，<br>就送給你啦。"""
favs_after_010#0,"""因為平常總受你的照顧啊。<br>你就當作是謝禮收下吧。"""
favs_after_020#0,"""那，就再見囉。"""
favs_present_010#0,"""從愛麗絲那裏領取了『肝塊』。"""
favs_present_020#0,"""從愛麗絲那裏領取了『極限任務票證』。"""
favs_present_030#0,"""從愛麗絲那裏領取了『所有電池充電』。"""
favs_present_040#0,"""從愛麗絲那裏領取了『肝塊』。"""
favs_present_050#0,"""從愛麗絲那裏領取了『裝備條件放寬30%』。"""
favs_present_060#0,"""從愛麗絲那裏領取了『肝塊』。"""
favs_present_070#0,"""從愛麗絲那裏領取了『フォトンクリスタル』。"""
favs_present_080#0,"""從愛麗絲那裏領取了『フォトンクリスタル』。"""
favs_present_090#0,"""從愛麗絲那裏領取了『フォトンクリスタル』。"""
favs_present_100#0,"""從愛麗絲那裏領取了『狂斬彿利亞』。"""
favs_present_add_001#0,"""アリスから『<%skit_text>』を受け取りました。"""
