name_7431#0,"""Vasco"""
ssn_014890_0001_001#0,"""Thank you very much once again for your hard work."""
ssn_014890_0001_002#0,"""Even I am not entirely sure what those things are..."""
ssn_014890_0001_003#0,"""One hypothesis is that those floating objects serve as some form of environmental control."""
ssn_014890_0001_004#0,"""That would explain why the climate changes so drastically between regions."""
ssn_014890_0001_005#0,"""Also why they are lined up in between regions in the fashion that they are..."""
ssn_014890_0001_006#0,"""I think we should consider that those two points are related to each other."""
ssn_014890_0001_007#0,"""Well, again, it's just a hypothesis, and we won't know until I examine the data more closely."""
ssn_014890_0001_008#0,"""Anyways, once again you've provided me with invaluable data."""
ssn_014890_0001_009#0,"""Thank you very much. If something else comes up, I hope I can count on you."""
ssn_014890_0001_100#0,"""In this world, within various places there are lurking secrets. There is inherent value in solving these mysteries."""
ssn_014890_0001_101#0,"""Not to mention, if I can solve even one of these mysteries, my life's work will be given meaning."""
ssn_014890_0001#0,"""Ah, hello. Have your missions been proceeding smoothly?"""
ssn_014890_0002#0,"""Indeed, the scope of my own activities has increased, and I've been conducting ever more thorough investigations."""
ssn_014890_0003#0,"""Alas, as everyone is busy, I lack the data I so dearly desire."""
ssn_014890_0004#0,"""What say you to lending your aid on my behalf once again?"""
ssn_014890_0101#0,"""Oh, all I require is data, so please do keep whatever ores you obtain."""
ssn_014890_0102#0,"""I'll transmit details regarding the location of Snowks to your Mag. With that, I bid you the best of luck!"""
ssn_014890_0201#0,"""Of course, I understand that you're busy too. Let me ask you at a more opportune time, then."""
ssn_014890_0301#0,"""Excellent work. Thanks for providing such great data once again."""
ssn_014890_0302#0,"""Without further ado, I'll start scanning right away."""
ssn_014890_0303#0,"""I must say, investigating heretofore unexplored areas is quite the thrill!"""
ssn_014890_0304#0,"""Indeed, exploration of such unknown locales is why I applied to be a part of this vanguard."""
ssn_014890_0305#0,"""There's an entire world outside of Aelio, and I can't describe how wonderful it is to examine it all."""
ssn_014890_0306#0,"""Ah, my apologies... Rambling on about myself like that."""
ssn_014890_0307#0,"""I'm just really happy to be where I am in life. Not only am I doing what I love, but it has real meaning to it."""
ssn_014890_0308#0,"""I never would have gotten to do this research without your assistance, nor without the support of my wonderful colleagues."""
ssn_014890_0309#0,"""Once again, I just want to thank you. I hope we can work together again soon."""
ssn_014890_1001#0,"""What great timing! Listen, I have another request for you."""
ssn_014890_1002#0,"""This discovery could be huge. Please!"""
ssn_014890_1101#0,"""If my guess is correct, then..."""
ssn_014890_1102#0,"""Well anyways, I'll be waiting. Be careful out there."""
ssn_014890_1201#0,"""Ah... I understand. Another time, then."""
ssn_014890_1301#0,"""Thank you kindly. And thanks again for the data thus far."""
ssn_014890_1302#0,"""Even at your Mag's maximum level of zoom, it's quite blurry, but it's much clearer than if we tried looking at it from down here."""
ssn_014890_1303#0,"""Perhaps there are fewer impurities in the air than in Aelio or Retem."""
ssn_014890_1304#0,"""Using your data, I examined what materials the Floating Island's exterior could be made of..."""
ssn_014890_1305#0,"""As I expected, it seems to be made from similar materials as those strange floating objects that line the perimeters of the regions."""
ssn_014890_1306#0,"""Somewhat similar to Trainia, but far more resilient to weathering. Extremely durable materials."""
ssn_014890_1307#0,"""I had previously hypothesized that those floating objects were controlling the environments of Halpha."""
ssn_014890_1308#0,"""What if, perhaps, the Floating Island serves as the environmental controller, and the floating objects were simply a means of extending its influence...?"""
ssn_014890_1309#0,"""...Hahaha. Perhaps I'm simply jumping to conclusions."""
ssn_014890_1310#0,"""Still, new discoveries are often made by relating two small pieces of information together like that."""
ssn_014890_1311#0,"""Indeed, it has undoubtedly become the overarching theme of this research."""
ssn_014890_1312#0,"""I intend to continue my research into the mysteries of Halpha. Thank you very much for your cooperation."""
ssn_014890_1401#0,"""Thanks to you, I now know what avenues I should be taking going forward."""
ssn_014890_1402#0,"""I intend to continue my research into the mysteries of Halpha."""
